,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,NW,6w,0,00,00,,00,00,,04,00,00,00,00,02,0,07
1,3,,0,,0,0,00,00,0,,0,02,:,00,,00,00
2,,,,0,,,,0.2,0.2,90,0.2,04,00,00,,00,00
3,MPEPPE,6w,04,0,0,0,,,0,0'0,00,,00,00,0.2,00,0'0
4,,bw,,0,,,,0,0,,0,,0,0,02,,04
5,,,116,,,,,1.13,,,,,40,40,310,08,88
6,,,,0'09,,,340,,1.110,1110,1110,1.16,360,360,050,210,1.20
7,MC,2,,,0'8,,,2,110,110,110,,,,140,1.00,1.00
8,P,,609,280,220,222,230,112,240,5.50,340,,,50,1.000,06,06
9,,,,20,,,50,0,08,100,08,80,140,140,1.100,110,110
10,,,,,,,,,,2,,83,,,,,852
