,0,1,2,3
0,Aubergine/egg plant,Patanseo,Batanse,9.5
1,Baobab fruit,Sito,Bui,10.2
2,Baobab fruit juiceor milk,Sitajio,Dhohi bui,17
3,"Baobab fruit juice, groundnuts and sugar",Sitanono,Ngineh jobe,8
4,Baobab leaf sauce,"Nada, na durango",Domoda lalo,9.4
5,Baobab leaves,Naa,Lalo,9.1
6,Beans,Soso,Nyebeh,9.5.1
7,Bitter tomato,Jato,Jahatu,9.5
8,Boiled,Fajiringo,Bahal,
9,Bonga fish,"Challo, chalo",Kobo,11
10,Bush greens,Morongo,Boroboro,9.1
11,Cashew,Casuo,Cashew,10.2
12,Cassava,Nyambo,Nyambi,7
13,Catfish,Kunkalengo,Kong,see p3
14,Chilli pepper,"Karno, kano",Kani,9.5
15,Cola nut,Kuruo,Guru,
16,Cow peas,Soso,Nyebe,9.5.1
17,Custard apple,Sunkungo,Sisob,10.2
18,Egg plant,Patanseo,Batanse,9.5
19,Flour,Munko,,
20,Groundnuts,Tio,Guerteh,8
21,Groundnut sauce,Tia durango,Maffeh gerteh,8.1
22,Gruel,Mono,Rui,
23,Guava,Biabo,Guyab,10.2
24,Jujube tree,Tomborongo,Saedaim,10.2
