,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,SIH.,bw,1000,,1101,,,,842,201,,,649,698,3224,8'08,
1,ARC,6w,,,,,,,,1124,,,2220,,,3004,
2,VAL,bw,,,,,1.006,,,,,,1116,,,,
3,TKR,6w,1447,,1007,2250,,,,,,,110,617,,,
4,PHE,6w,,,,4110,,2660,,,,,,,,,
5,CrS,bw,450,,,850,221,,,220,601,,,,,2.00,1770
6,MET,6w,,,,1.100,300,,,,,1007,,,,,
7,LXS,bw,,,,2220,1166,,,,,,1440,192,,,
8,LUU,bw,,,2580,,,,2117,,,,1190,,,,
9,371,bw,1774,,,3110,,1770,1164,,,1147,,1146,,1442,
10,THR,6w,1115,1.000,,2490,0'68,1117,,0'88,2200,1177,,1107,,1228,
11,TRP,bw,,,,050,,,,,,,,250,,,
12,,,,2,,,,,,,,,,,,099,
