,0,1,2,3
0,,,Pregnantwomen,Under-five sleeping
1,Insecticide Treated,Household with at,sleeping under ITN the,under ITN the night
2,Net (ITN) use,Ieast one ITN (%),night preceding the,preceding the survey
3,,,survey (%),(%)
4,DRC,51,43,38
5,Urban,58,43,44
6,Rural,48,42,36
7,Kinshasa,71,42,51
8,Bas-Congo,42,33,36
9,Bandundu,52,43,42
10,Equateur,66,53,52
11,Province Oriental,72,62,52
12,Nord-Kivu,51,39,32
13,Maniema,84,67,57
14,Sud-Kivu,50,57,36
15,Katanga,36,35,33
16,Kasai Oriental,19,15,14
17,Kasai Occidental,28,24,20
