,0,1,2,3,4
0,North,,"Equator (North), East Province (North and Northeast)15/03 - 15/0415/07 - 15/08",15/09 -15/10,15/01 -15/02
1,Southeast,Katanga,15/09 - 15/10  15/01 - 15/02,,
2,Southwest,"Kinshasa, Bandundu, Lower-Congo",15/02 -15/0315/06 -15/07,15/10 -15/1115/02 -15/12,15/10 -15/1115/02 -15/12
3,,Cassava,,,
4,Central Basin,"Equator,East Province",15/03 - 15/04 15/07 - 15/08,15/10 - 15/1115/12 - 15/01,15/10 - 15/1115/12 - 15/01
5,Centre South,"West Kasai, East Kasai",15/10-15/1115/07-15/08,15/03 - 15/04,15/12 - 15/01
6,East,"North Kivu, South Kivu, Maniema,East Province",15/10 - 15/1115/07 - 15/08,15/03 - 15/04,15/12 - 15/01
7,North,,"Equator (North), East Province (North and Northeast)15/03 - 15/0415/07 - 15/08",15/10 - 15/11,15/12 -15/01
8,Southeast,Katanga,15/10 - 15/11 15/07 - 15/08,,
9,Southwest,"KinshasaBandundu,Lower-Congo",15/10-15/1115/07-15/08,15/03-15/0415/12-15/01,15/03-15/0415/12-15/01
