,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,6w 6r,00,00,04,04,0'0,0'0,00,0'0,,04,00,8'0,0'0
1,,6w 6r,00,00,00,00,00,00,00,00,,00,00,00,00
2,70,6r,00,00,100,110,00,00,00,00,30,,,,10
3,,6w,0,00,,,0,0,00,,,2,,2,00
4,NIA,bw,0,00,40,,0,00,0,00,,,,,07
5,,6w,00,00,0.2,02,00,00,00,00,02,00,,0.2,00
6,,6w,00,00,0,0,0,0'0,0'0,00,0,0,0,02,00
7,,6w,0,00,00,00,0,00,00,00,20,,,,05
8,,6l,0,0,,0,0,0,0,0,,,00,,00
9,,6,0,0,0,0,0,0,0,0,,00,00,,00
10,,,0,0,0,0,0,0,0,0,,,0,0,00
11,TTTA,,0,0,00,0,0,0,0,00,10,008,1.000,2110,00
12,,,,,,,,,,Teeeeeees,,,,,
13,,,,444,474,475,195,,467,89t,,,470,,480
