,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,IDPs in,IDPs in,IDPs,IDPs,,,,,,,,
1,,host,,in,,Returning,Returning,,,,,,
2,Provinces,families,families,sites,sites,IDPs,,Resident,Refugee Repatriate Deported Other,,,,
3,Bas-Congo,,0.8,,3.6,,2.1,93.4,,0.2,,,
4,Bandundu,,0.4,,0.6,,3.0,95.9,,0.1,0.0,,
5,Equateur,,0.3,,0.1,,3.2,96.2,,0.1,0.2,,
6,Province orientale,11.5,11.5,,11.2,,19.7,57.0,,0.6,,,
7,Nord-Kivu,10.0,10.0,,1.6,,2.0,85.6,,0.1,,0.1,0.6
8,Maniema,,2.1,,1.5,,1.1,93.6,,0.1,0.3,,1.4
9,Sud-Kivu,,3.6,,2.6,,4.2,86.5,,1.9,0.2,0.2,0.9
10,Katanga,,0.1,,0.6,,1.2,97.8,,,0.3,,
11,Kasai Oriental,,1.5,,0.9,,2.5,95.0,,0.1,,,
12,Kasai Occidental,,0.1,,0.6,,4.3,94.8,,0.1,0.1,,
13,Rural national,,3.2,,2.1,,4.0,89.8,,0.5,0.1,0.1,0.4
