,0,1,2,3,4,5,6,7,8,9,10,11
0,Province,,Maize flour,,Imported rice,,Cassava flour,Cassava flour,,,Fuel,
1,,Av.price,,Annual growth,Av.price,Annual growth Av. price,Annual growth Av. price,,Annual growt Av.,price,Annual growth,Annual growth
2,,2011-12,,2008-12 (%),2011-12,2008-12 (%),2011-12,,2008-12 (%),2011-12,2008-12 (%),2008-12 (%)
3,Bas-Congo,,841,23,1148,17,,539,-7,1256,,15
4,Bandundu,,640,14,1420,22,,337,-9,1632,,13
5,Equateur,,674,17,1528,21,,530,-4,2009,,11
6,Province orientale,1026,1026,34,1029,10,,600,23,1848,,16
7,Nord-Kivu,,697,11,1069,10,,526,19,1659,,16
8,Maniema,,623,-11,2096,10,,294,-23,2246,,0
9,Sud-Kivu,,646,28,1111,24,,563,15,1627,,13
10,Katanga,,557,-8,1463,26,,533,-11,1789,,12
11,Kasai Oriental,,635,8,2002,21,,511,27,2480,,20
12,Kasai Occidental,,644,-9,1941,23,,493,-3,2365,2365,17
13,National,,707,9,1422,19,,532,1,1833,,13
