,0,1,2,3
0,Fish,Fish for,Fish,Fish for
1,,coding,,coding
2,"Feta, fresh","Kujalo, fresh","Tabasse,fresh","Kujalo, fresh"
3,"Feta,dried","Kujalo,dried","Tabasse,dried","Kujalo,dried"
4,"Jotto, fresh","Challo, fresh","Tambajango, fresh","Furo,fresh"
5,"Jotto, dried","Kujalo,dried","Tambajango,dried","Challo, dried"
6,"Koso,fresh","Kujalo, fresh","Tarorow,fresh","Kujalo, fresh"
7,"Koso, dried","Kujalo,dried","Tarorow, dried","Kujalo,dried"
8,"Kunkalengo,fresh","Kujalo,fresh","Wangkango, fresh","Kujalo,fresh"
9,"Kunkalengo,dried","Kujalo,dried","Wangkango,dried","Kujalo,dried"
