,0,1,2,3,4,5
0,,,,Appendix 5,,
1,,,,Taxonomic names,,
2,,,,(From McCrae and Paul),,
3,Mandinka,Wolof,English,,Taxonomic name,Section
4,Cereals,,,,,
5,Farinyo,Farring,Wheat,,Triticum spp.,6
6,Findo,Findi,A wild grass,,Digitaria exilis,3
7,Kinto,Diting,Sorghum,,Sorghum gambicum,4
8,Mano,Malo,Rice,,Oryza sativa,1
9,Sanyo,"Sanyo, duguub","Millet (Bulrush, pearl)","Millet (Bulrush, pearl)",Pennisetum typhoideum,2
10,Tubanyo,Mboha,Maize,,Zea mays,5
11,Roots and tubers,,,,,
12,Kunyambo,Nyambaba,Yam,,Dioscorea spp.,9.5
13,Nyambo,Nyambi,Cassava,,Manihot esculenta,7
14,Patat,Patat,Sweet potato,,Ipomoea batatas,9.5
15,Jambanduro,Mbum ndurr,A dark leaf,,Cassia tora,9.1
16,Keren-kerengo,Kerengkereng,Bush okra,,Corchorus olitorius,9.1
17,Kucha,Bissap,"Red sorrel, sour leaves","Red sorrel, sour leaves",Hibiscus sabdariffa,9.1
18,Morongo,Boroboro,"Bush greens, amaranth spinach","Bush greens, amaranth spinach",Amaranthus caudatus,9.1
19,Naa,Lalo,"Baobab, cream of tartar tree","Baobab, cream of tartar tree",Adansonia digitata,9.1
20,Vegetables,,,,,
21,Jabo,Linyong,Onion,,Allium cepa,9.5
22,,,Cabbage,,Brassica oleracea,9.5
23,Jato,Jahatu,Bitter tomato,,Solanum incanum,9.5
24,Kanjo,Kanja,"Okra, ladies' fingers","Okra, ladies' fingers",Hibiscus esculentus,9.5
