,0,1
0,Rice bean,Vigna umbellata (Thunb.) Ohwi & H.Ohashi
1,,Azukia umbellata (Thunb.) Ohwi
2,,Dolichos umbellatus Thunb
3,,Dolichos unguiculatus Thunb
4,,Phaseolus calcaratus Roxb
5,,Phaseolus chrysanthos Savi
6,,Phaseolus pubescens Blume
7,,Vigna calcarata (Roxb.) Kurz
8,Moth bean,Vigna aconitifolia (Jacq.)Marechal
9,,Dolichos dissectus Lam.
10,,Phaseolus aconitifolius Jacq.
11,,Phaseolus palmatus Forssk.
12,,Vigna aconitifolia(Jacg.) Verdc
13,Cowpea,Vigna unguiculata (L.) Walp
14,,Dolichos biflorus L.
15,,Dolichos catjang L.
16,,Dolichos monachalis Brot.
17,,Dolichos sesquipedalis L.
18,,Dolichos sinensis Forssk.
19,,Dolichos sinensis L.
20,,Dolichos sphaerospermus (L.) DC
21,,Dolichos unguiculatus L.
22,,Dolichos unguiculatus Thunb
23,,Vigna catjang (L.) Walp.
24,,Vigna cylindrica (L.) Skeels
25,,Vigna sesquipedalis (L.) Fruwirth
26,,Vigna sinensis (L.) EndI. ex Hassk.
27,,Vigna sinensis (L.) Savi ex Hassk
28,Bambara groundnut,Vigna subterranea (L.) Verdc.
29,,Glycine subterranea L.
30,Hyacinth bean,Lablab purpureus(L.) Sweet
31,,Dolichos albus Lour.
32,,Dolichos bengalensis Jacq.
33,,Dolichos lablab L.
34,,Dolichos purpureus L.
35,,Lablab lablab (L.) Lyons
36,,Lablab niger Medik
37,,Lablab vulgaris Savi
38,,Lablab vulgaris var.albiflorus DC
39,,Vigna aristata Piper
40,Pea,Pisum sativum L.
41,,Pisum vulgare Judz.
42,Chickpea,Cicer arietinum L.
43,,Ononis crotalarioides Coss
44,,Ononis crotalarioides M.E.Jones
