,0,1,2,3,4,5,6,7,8
0,,,Severely food,Severely food,Moderately food,Moderately food,,Total food,Rural
1,,Territory,,insecure (A),,insecure (B),insecure (A+B),insecure (A+B),population in
2,,,%,Population,%,Population,%,Population,2011
3,Dekese,Dekese,1.3,"1,702",16.7,"21,279",18.0,"22,981","127,672"
4,Demba,Demba,18.4,"118,502",31.6,"203,146",50.0,"321,648","643,296"
5,Dibaya,,12.1,"65,195",45.1,"242,153",57.2,"307,349","537,084"
6,Dimbelenge,Dimbelenge,5.3,"8,902",25.0,"42,286",30.3,"51,188","169,143"
7,Ilebo,,0.6,"2,467",20.6,"83,873",21.2,"86,339","407,029"
8,Kazumba,Kazumba,24.2,"264,038",38.1,"414,916",62.3,"678,954","1,089,679"
9,Luebo,,21.0,"72,430",31.2,"107,547",52.2,"179,977","344,590"
10,Luiza,,26.0,"31,935",31.8,"39,093",57.8,"71,028","122,784"
11,Mweka,Mweka,6.4,"29,264",29.2,"134,615",35.6,"163,879","460,423"
12,Tshikapa/Kamonya,Tshikapa/Kamonya,5.8,"121,881",39.0,"819,545",44.8,"941,426","2,101,398"
