,0,1,2,3,4,5,6,7,8
0,5,,232,,.20,.20,.20,377,82
1,,,16,,110,110,110,88618,8818
2,,cim,232,,I20,I20,I20,37252,2728
3,,,,,,10,10,18,8888
4,5 m,5 m,,,:10,:10,:10,87718,8780
5, , ,232,,I20,I20,I20,37755,5758
6,,,232,,120,120,120,37755,5758
7,,orrrr,222,,,,,,
8,,,822,,,,,8,122
9,,,222,,1.0,1.0,1.0,33238,2220
10,en,,15,,NIO,NIO,NIO,ONN,878
11,,,9.5,,,10,10,ONNI,675
12,P,,222,,I20,I20,I20,222J25222,222J25222
13,,,222,,i20,i20,i20,22352,5222
14,,,222,,N2O,N2O,N2O,22252,5222
15,,,,sdnuAs 8 Sue6ns,10,0,80,,
