,0,1
0,Sodium,"Emission spectrometry (Moxon,1983)"
1,,Atomic absorption spectrophotometry (AOAC 985.35)*
2,,Flame photometry
3,,ICPOES (AOAC 984.27)
4,Potassium,Emission spectrometry
5,,Atomic absorption spectrophotometry (AOAC 985.35)*
6,,Flame photometry
7,,ICPOES (AOAC 984.27)
8,Calcium,Atomic absorption spectrometry (AOAC 985.35)
9,,Titrimetry
10,,ICPOES (AOAC 984.27)
11,Magnesium,Atomic absorption spectrometry (AOAC 985.35)
12,Copper,Colorimetry
13,Iron,ICPOES (AOAC 984.27).
14,Zinc,"Emission spectrometry (Moxom,1983)"
15,Phosphorus,Colorimetry*
16,,Atomic absorption spectorometry (AOAC 985.35)
17,,ICPOES (AOAC 984.27)
18,Manganese,Atomic absorption spectrometry (AOAC 985.35)
19,,ICPOES (AOAC 984.27)
20,Selenium,Hydride generation atomic absorbtion spectroscopy (Tinggi et
21,,"al.,1995)"
22,,"Fluorimetry (Michie et al.,1978)"
23,,Modified selenium hydride (AOAC 986.15) or stable isotope
24,,dilution gas chromatography-mass spectrometry (Reamer and
25,,"Veillon, 1981) methods."
26,Iodine,"Spectrophotometry (Moxon,1980)"
27,,GLC
28,Vitamins,
29,Fat soluble vitamins,
30,Retinol,HPLC
31,B-carotene,Chromotographic separation and absorption
32,Other carotenoids,spectrophotometry
33,,GLC
34,Vitamin D,Reverse phase HPLC
35,,Biological assay and spectrophotometry
36,,GLC*
37,,Liquid chromatography (AOAC 995.05 or 982.29)
38,Vitamin E,Normal phase HPLC
39,,Reverse phase HPLC
40,,"Colorimetry combined with GLC (Christie et al.,1973)"
