,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,bw,04,02,00,,27,,90,,26,04,04
1,,6r,80,04,2,,,0.2,,40,,04,04
2,Y0LF000L,6rl,1.80,1.20,,,420,:,08,0.00,440,50,10
3,Y0LF000L,6w,0,00,00,00,02,0,0,04,04,0'0,00
4,VIN,bw,00,0,0,00,,,,60,00,00,
5,,bw,04,2,,,90,0,,16,,02,
6,TIHA,6w,,00,,00,02,0,0'0,,02,00,00
7,VTrTC,6w,00,00,00,60,,20,15,89,10,00,
8,VTTEYTTE,6rl,,02,0.2,00,40,00,00,00,00,00,00
9,VTTEYTTE,6rl,00,00,,00,2,0,00,00,00,00,00
10,ATTTA,,2610,,1170,069,,,,09,4000,280,210
11,VTTA,,2660,,1110,240,,820,,09,4000,280,210
12,,,,,,ieeeetem,,,,,,,
13,,,,268,,217,222,263,,260,214,,266
