,0,1
0,Foods not included,Examples
1,"Common or imported foods(e.g.rice,banana,potato)",Colour: green beans
2,"described only at species level, even if other",Processing:white or brown rice
3,specification are given such as,Shape:medium-size carrot
4,region,
5,country,Lam.(for Lamarck)
6,season,
7,colour as part of the food name or as indication,
8,of processing,
9,shape,
10,species name is followed by author which should,
11,not be confused with the cultivar/variety/breed,
12,name,
13,local name,
14,Common or imported name described only with local,
15,name,
