,0,1,2,3,4,5,6,7,8,9
0,Year,B,Cr,Cu,Fe,Mn,Mo,Ni,Se,Zn
1,1977,2.30  0.720,6.55  0.603,52.7a  11.8,80.4a  6.32,8.11ab  0.270,0.372ab,3.74a  0.351,0.481ef,65.8a  2.62
2,,,,,,, 0.032,,0.051,
3,1978,5.68 cd  2.47,4.94e  0.371,46.5a  2.38,58.5abc,7.70bc  0.195,0.684a  0.211,0.496cf  0.286,1.19def  0.048,62.1ab
4,,,,,8.81,,,,,0.950
5,1979,4.46 cd  1.29,4.39  0.545,48.4a  24.5,68.2ab  14.0,10.2a 1.40,0.374ab,0.545cde,0.437 f  0.253,56.3abc  5.25
6,,,,,,, 0.099, 0.178,,
7,1984,6.43 cd  1.41,4.55  0.757,33.6a  10.3,58.9abe,7.66bc  1.16,0.347ab,0.241def  0.071,0.537ef,58.2abc  4.98
8,,,,, 22.0,, 0.075,,0.241,
9,1993,3.57 cd,3.98e  0.073,21.8a  2.27,44.1bcd,5.25d  0.754,0.249b  0.048,0.125ef  0.016,1.97 cd  0.281,65.0ab  2.51
10,,0.290,,, 3.46,,,,,
11,1994,3.64 cd,4.03e  0.328,18.0a,59.5abc,4.73 0.311,0.197b  0.028,0.096f 0.009,1.51 cd  0.463,53.7a-d  5.11
12,,0.290,,0.164,5.59,,,0.202def  0.037,,
13,2008,2.50 cd,9.15 0.426,10.4a,43.0bcd,5.77bcd  1.63,0.213b  0.025,0.202def  0.037,1.98 cd 0.150,29.9d  1.39
14,,0.460,,0.896, 3.37,,,,,
15,2013,8.36bcd1.11,14.3a  0.642,19.7a3.59,39.obed,6.73bcd  1.12,0.219b  0.081,"0.356c,f  0.064",3.92a  0.312,38.obed 2.10
16,,,,,3.13,,,,,
17,2015,8.88bcd 1.03,13.8a0.673,19.12.58,47.9bcd,6.05bed,0.307ab,0.844bc  0.099,3.39ab 0.235,35.3 cd  7.76
18,,,,, 2.84, 0.225,0.018,,,
19,2017,13.6a-d  3.02,11.3b  1.30,18.11.57,17.61.50,5.46bed,0.223b  0.024,1.30b 0.244,2.47bc  0.442,36.5 cd  3.88
20,,,,,, 0.584,,,,
21,2018,19.3ab  11.6,4.63  0.247,77.716.3,41.0bcd,5.69bcd  1.24,0.273b  0.055,0.620 cd  0.207,1.66 cd  0.620,57.7abc  26.5
22,,,,,16.5,,,,,
23,2019,23.7a  10.3,5.27de,18.7a  6.40,36.4 cd  8.93,5.250.575,0.425ab,0.570ce  0.101,1.48 cd 0.515,49.5a-d  7.33
24,,, 0.192,,,,0.401,,,
25,2020,15.9abc  5.25,5.11 0.560,59.5a  79.5,47.9bcd,6.76bed  1.32,0.306b 0.110,"0.437c,f  0.089",1.65 cd  0.675,61.4ab  10.7
26,,,,, 10.4,,,,,
27,Mean,9.10  6.64,7.01  3.61,34.2 19.9,49.4  15.3,6.57  1.47,0.322  0.125,0.736  0.922,1.74  1.01,51.511.9
