,0,1,2,3
0,Lentil type,Pre-treatment/,Effect on,Reference
1,,processing,antinutrients,
2,,conditions,,
3,,isolates followed,red and green,
4,,by isoelectric,lentil isolates (0.17,
5,,precipitation at,"&0.66,",
6,,pH 4.3,respectively than,
7,,,red and green,
8,,,lentil flours (0.94,
9,,,"&1.94,",
10,,,respectively),
11,,,Green lentil had,
12,,,higher trypsin,
13,,,inhibitor activity,
14,,,than the red,
15,,,variety.,
16,Green lentil,Isoelectric,Total phenolic,Aryee and Boye
17,(Laird),precipitation at,content increased,(2016a)
18,,pH 9.0 with 1/10,from 4.14 to,
19,,solid/liquid ratio,9.77 mg g-1,
20,,at 25C,Total phosphorus,
21,,,content decreased,
22,,,from 1.15 to,
23,,,0.62 mg g~1,
24,,,Trypsin inhibitor,
25,,,unit decreased,
26,,,from 0.55 to 0.17,
27,Brown lentil,Extraction at pH,Total galacto-,Joehnke et al.
28,(Itaca),7.5 and isoelctric,oligosaccharides,2021
29,,precipitation at,content recovered,
30,,pH4.5;,in LPI-IEP*and,
31,,ultrafiltration at,LPI-UF*was 42%,
32,,MWCO 10 kDa.,"and 9%,",
33,,,respectively,
34,,,Trypsin inhibitory,
35,,,activity was,
36,,,reduced by 81%,
37,,,using IEP and 87%,
38,,,using UF,
39,Lentil (Lens,Extraction at pH,Trypsin inhibitor,Joehnke et al.
40,culinaris),7.5 and isoelctric,activity (TIA),2021
41,,precipitation at,levels based on dry,
42,,pH4.5;,protein mass were,
43,,ultrafiltration at,lowered by 81% in,
44,,MWCO 10 kDa;,LPI-IEP and 87%,
45,,pasteurized and,in LPI-UF relative,
46,,spray dried.,to LF.,
47,,,Significant,
48,,,reduction in total,
49,,,galacto-,
50,,,oligosaccharides,
51,,,(GOS contents by,
52,,,58% and 91% in,
53,,,LPIIEP and LPI-,
