,0,1,2,3,4,5,6
0,,Vitamin-mineral supplements,,Vitamin supplements,,Mineral supplements,
1,,Median,Range,Median,Range,Median,Range
2,Vitamin D (g),60,990,500,990,,
3,Vitamin D (g),5.0,9.3,5.0,9.3,,
4,Folate (g),200,980,300,990,,
5,Vitamin B6 (mg),2.3,29.6,10.0,299.7,,
6,Niacin (mg),18,53,20,124,,
7,Riboflavin(mg,1.6,14.7,12,50,,
8,Vitamin B (g),1.4,14.7,14,269,,
9,Vitamin B (g),3,199,10,499,,
10,Vitamin E (mg),5.8,89.5,162.0,534.0,,
11,Vitamin A (g),402,938,399,897,,
12,Zinc(mg),267,24.6,,,15.0,24.9
13,Calcium (mg),267,794,,,400,1000
14,Selenium (g),83,348,,,104,349
15,Selenium (g),30,94,,,50,75
16,Iron (mg),10,97,,,48,100
17,Copper (mg),0.7,2.0,,,0.5,0.9
