,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Serial No,Cross,Stage,N,0202,0202,0202,2,P-value,016016,O16o16,o16o16,x2,p-value
1,,,BCF1,105,59,46,-,1.61,0.2044NS,62,43,-,3.44,0.06 NS
2,1.,HKI1344 x PMI-102-o2o16,BCF1,165,94,71,-,3.206,0.734NS,85,80,-,0.15,0.69NS
3,,,BC+F1,223,98,119,51,1.045,0.593 NS,58,122,43,3.99,0.136NS
4,,,BC+F1,138,98,40,-,24.37,0.00001**,81,57,-,4.17,0.0411*
5,2.,HKI1348-6-2  PMI-102-o2o16,BCF1,154,88,66,-,3.14,0.763NS,80,74,-,0.23,0.63NS
6,,,BCF2,244,48,140,56,5.84,0.053NS,53,139,52,4.746,0.0932NS
7,,,BCF1,122,63,59,-,5.893,0.717NS,81,41,-,13.11,0.00029**
8,3.,HKI1378 x PMI-102-o2o16,BC2Fi,159,87,72,,1.415,0.234NS,81,78,,0.056,0.812gNS
9,,,BCF2,254,125,104,25,87.071,0.00001**,74,103,77,9.142,0.01034*
