,0,1,2
0,Variable,Bt-176 maize,Control maiz
1,Fatty acid composition %,,
2,C16:0,11.60.23,11.2+0.19
3,C16:1,0.120.06,0.110.04
4,C18:0,1.860.09,1.970.07
5,C18:1,26.91.33,28.0+1.35
6,C18:2,57.02.21,56.02.40
7,C18:3,0.410.03,0.420.08
8,C20:0,1.590.11,1.630.14
9,C20:1,0.080.02,0.140.04
10,C22:0,0.150.03,0.150.05
11,C24:0,0.180.02,0.180.03
12,Lipids g/kg oil,,
13,Total lipids (TL),0.321,0.340
14,Total neutral lipids (TNL),96.73.22,97.13.66
15,Total glycolipids (TGL),2.010.52,2.150.43
16,Total phospholipids (TPL),0.800.09,0.600.09
17,Total unsaponifiables (Unsap.),3.010.21,2.200.30
18,Campsterol,3.030.26,2.20+0.22
19,Stigmasterol,0.710.08,0.550.06
20,-sitosterol,10.30.68,7.59+0.39
21,5-Avenasterol,0.330.03,0.250.5
22,A7-Avenasterol,0.550.05,0.390.5
23,-Tocopherol,0.060.01,0.040.01
24,-Tocopherol,0.78+0.7,0.570.09
25,-Tocopherol,2.04+0.31,1.490.36
26,-Tocopherol,0.080.02,0.050.01
