,0,1
0,Default name,Frequency
1,Default Centrum,3546
2,Default totally unknown,1835
3,,1217
4,LongsDefault,807
5,Default One-A-Day,777
6,LongsDefault Central Vite,774
7,Default Multivitamins,545
8,Longs Default Daily,528
9,Default Multivitamins with Minerals,464
10,Nature MadeDefault,411
11,Default Central Vite,400
12,Default B Complex,321
13,ShakleeCorporation Default,201
14,,189
15,Leiner Health Products Your LifeDefault,156
16,Longs Default B Complex,144
17,Spring Valley Default Sentury-Vite,135
18,Bayer Corporation Default One-A-Day,115
19,Nature MadeDefault BComplex,115
20,General Nutrition Corp (GNC Default,114
