,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Honey feed,,Major elements,Major elements,,,,Trace elements,Trace elements,Trace elements,,,,,,,
1,,,C1,K,Mg,Mn,Na.,Cd,Co,Cu,F,Fe,1,Ni,Pb,Sr,Zn
2,Sesame flower M,Sesame flower M,10200,3520,7849,113,1.5,3062,9.5,25.7,5.0,4660,3.85,18.5,15.5,27.5,42
3,,SD,80,70,50,4.0,0.0,11,0.70,1.7,1.0,26,0.50,1.30,0.0,1.8,3.8
4,Orange flower M,Orange flower M,850,24375,4300,23,1.0,1075,4.0,14.2,6.5,283,3.4,10.7,14,31,13
5,,SD,30,1237,220,1.0,0.1,350.0,350.0,0.35,0.9,34,0.40,0.25,1.0,1.0,0.3
6,Clover flower,M,11800,35250,5516,56,2.9,4800,5.5,44.7,12.4,500,0.40,15.5,19,51,50
7,,SD,200,1060,750,5.0,0.14,2120.7,2120.7,6.0,0.6,21,0.50,1.4,0.0,7,1.0
8,Syrup,M,39000,6238,301,1.50.50,1.50.50,1775 3.0,1775 3.0,1.3,10,285,0.6,1.9,7.5,0.50,9.2
9,,SD,100,160,65,1.00.10,1.00.10,350.10,350.10,0.28,1.0,20,0.70,0.14,0.70,0.0,0.35
