,0,1,2,3,4
0,Food,na,mean  s.d.b,range:,reported values c
1,Cereals,,,,
2,Breads,,,,
3,Multigrain,12,0.11  0.02,0.10-0.14,
4,Wholemeal,10,0.12  0.01,0.10-0.14,(0.53)
5,White,8,0.08  0.01,0.06-0.09,"(0.27-0.30)1,4"
6,White rice -boiled,5,0.07  0.01,0.05-0.08,"(0.065-0.514)1,2.3"
7,Pasta/spaghetti-boiled,7,0.05  0.03,0.01-0.10,
8,Biscuits,,,,
9,Cream,6,0.02  0.01,0.01-0.03,
10,Chocolate,6,0.01  0.00,0.01-0.02,
11,Plain,6,0.04  0.02,0.04-0.08,
12,Muesli bar,4,0.08  0.01,0.06-0.09,
13,Cakes,,,,
14,Chocolate,6,0.05  0.01,0.04-0.06,
15,Scone,5,0.08  0.01,0.07-0.09,
16,Fruit,5,0.04  0.01,0.02-0.05,
17,Breakfast cereals,,,,
18,Rice bubble,4,0.01  0.01,0.01-0.02,(0.026-0.031)2
19,WeetbixVitabrits,6,0.26  0.03,0.25-0.31,(0.55)4
20,Comflakes,6,0.06  0.01,0.05-0.06,(0.02-0.10)1.2.4
21,Meat/Fish/Eggs,,,,
22,Beef steak,6,0.20  0.01,0.17-0.21,"(0.03-0.363)1,2.4"
23,Lamb chop,2,0.22,0.20-0.23,"(0.01-0.184)1,2"
24,Sausages,4,0.13  0.04,0.10-0.18,(0.33)4
25,Rissoles,2,0.12,0.11-0.14,
26,Ham,,0.20  0.03,0.16-0.23,"(0.298-0.51)3,4"
27,Chicken,,,,
28,Barbecue,6,0.26 0.01,0.18-0.27,(0.106-0.154)2
29,Roasted,5,0.25  0.01,0.24-0.26,
30,Boiled egg yolk,4,0.26  0.03,0.23-0.30,"(0.174-0.2)1,2"
31,Boiled egg white,4,0.09  0.03,0.06-0.12,"(0.043-0.06)1,2"
32,Scrambled egg,3,0.21  0.02,0.19-0.22,(0.38)4
33,Fish finger (fried),1,0.16,,
34,Grilled fish fillet,1,0.34,,
35,Fish fillet,1,0.12,,
36,(deep fried),,,,
37,Raw fish,,,,
38,Morwong,6,0.63  0.06,0.50-0.70,
39,Yellow-tail kingfish,2,0.45,0.42-0.49,
40,Mackerel,2,0.31,0.30-0.32,(0.35)1
41,Spotted cod,2,0.39,0.38-0.40,(0.1)1
42,Trevally,2,0.48,0.46-0.50,
43,Milk Products,,,,
44,Skim milk,4,0.03  0.01,0.02-0.04,
45,Whole milk,,,,
46,(homogenised),10,0.04  0.02,0.01-0.05,"(0.01-0.013)1,2"
47,Cheese,6,0.07  0.03,0.05-0.11,"(0.12-0.168)1,3"
48,Yoghurt,3,0.02  0.01,0.01-0.03,
