,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Component,Season Spring/Summer,Season Spring/Summer,Season Spring/Summer,,,,,,Season Autumn/Winter,Season Autumn/Winter,Season Autumn/Winter,,,,,,Recommended,Recommended
1,,CHDFCDB,,CROFCDB,,USDAFCDB,,DanishrcDB,DanishrcDB,CHDFCDB,,CROFCDB,,USDAFCDB,,DanishecDe,,,
2,,x,SD,X,SD,x,SD,x,SD,x,SD,x,SD,x,SD,x,SD,Min*,Max#
3,Energy (kJ),8478,1063,8902,1132,9387a,1113,9006,945,8229,492,8689,715,9232a,505,8756,576,8400,9240
4,Protein (g),84a,4,94,10,99,16,90,10,84,4,93,11,103,22,90,14,53,87
5,Total fat (g),47a,20,52,22,59,19,54,16,48,9,55,12,62a,8,56,7,35,64
6,Carbohydrates (g),332,26,331,26,338,23,336,24,314,22,310,24,319,20,317,20,315,375
7,,,,,,,,,,,,,,,,,,RDA,UL
8,Sodium (mg),1913,272,2271,635,2265,437,1759a,"428,9",1808,427,2043,674,2084,497,1649a,383,1500$,2300s
9,Calcium (mg),679,218,671b,203,863a,282,729,299.7,571,142,512b,157,753a,140,570,177,800,1500
10,Magnesium (mg),241,43,195,56,347a,89,276,31.4,231,72,180,86,351a,131,273,50,375*,700
11,Phosphorus (mg),1294,131,1330,117,1401,124,1384,158.2,1248,116,1254,209,1339,254,1278,178,700,1400*
12,Iron (mg),12.2,1.9,13.8,1.8,16.3,2.8,11.8,2.0,12.6,1.7,14.1,1.8,17.0,3.9,12.2,2.6,14,30
13,Zinc (mg),7.6,2.0,4.2a,1.1,12.4a,3.6,10.5,3.1,7.4,2.4,3.8a,1.8,11.9,2.7,10.3,2.6,10*,15*
14,Copper (mg),0.9,0.3,0.8,0.2,1.5,0.1,1.0,0.2,0.9,0.3,0.8,0.3,1.5,0.2,1.0,0.1,1,3
15,Vitamin B (mg),1.1,0.1,1.1,0.1,1.7,0.3,1.2,0.2,1.0,0.2,1.0,0.2,1.7,0.3,1.1,0.2,1.1*,"4,0"
16,Vitamin B2 (mg),1.3,0.2,1.3,0.2,20,0.3,1.6,0.4,1.2,0.2,1.1,0.4,1.9,0.4,1.4,0.4,1.4*,"4,0*"
17,Vitamin B3 (mg),16.6a,0.3,19.0,5.8,26.2,7.3,21.8,9.1,18.7,2.2,21.0,3.3,28.6a,7.0,23.8,4.9,16,35
18,Vitamin B6 (mg),1.4a,0.3,1.4a,0.4,2.5,0.4,2.2,0.6,1.4a,0.3,1.4a,0.4,2.6,0.4,2.2,0.4,1.4*,"6,0"
19,Vitamin C (mg),104a,8,125,18,135,20,190a,13,100,22,116,26,128,28,186a,35,80*,500*
