,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Hydroxybenzoic acids 3,Hydroxybenzoic acids 3,,,Hydroxycinnamic acids,Hydroxycinnamic acids,,,,,,
1,,gallic acid,,4-hydroxybenzoic acid,4-hydroxybenzoic acid,caffeic acid,,p-coumaric acid,p-coumaric acid,ferulic acid,,sinapic acid,
2,,before 4,after,before,after,before,after,before,after,before,after,before,after
3,Black beans,36.6 ,26.7 ,13.3 ,tr.5,34.0 ,11.0 ,64.5 ,14.9 ,159  2,44.5 ,60.0 ,22.1 
4,,1.6,0.1,0.1,,1.5,1.1,6.4,0.1,,0.2,3.9,0.3
5,Brown beans,n.d.,n.d.,36.6 ,15.8 ,14.9 ,4.3  1.6,17.2 ,5.1  0.1,1511,60.9 ,66.3 ,23.0 
6,,,,0.2,0.1,0.9,,1.3,,,0.6,0.2,0.1
7,Grey peas,10.9 ,5.4  0.3,30.1 ,3.9  0.6,n.d.,n.d.,n.d.,n.d.,7.4  0.2,3.1  0.2,7.1  0.2,3.2  0.1
8,,0.1,,0.1,,,,,,,,,
9,Yellow peas,n.d.,n.d.,8.2  0.5,n.d.,17.7 ,5.4  0.5,n.d.,n.d.,37.1 ,23.9 ,24.1  0,13.4 
10,,,,,,0.1,,,,0.2,2.5,,1.6
11,Borlotti beans,n.d.,n.d.,36.3 ,13.8 ,8.1  0.2,1.7  0.4,39.7 ,13.2 ,450 1,61.5 ,35.4 ,12.6 
12,,,,0.9,0.3,,,0.7,0.7,,0.5,0.7,0.4
13,White beans,n.d.,n.d.,tr.,n.d.,21.7 ,9.0  1.0,39.8 ,15.4 ,238  0,76.4  2,85.7 ,30.2 
14,,,,,,0.7,,0.3,0.5,,,2.6,0.7
15,Red kidney,n.d.,n.d.,20.5 ,2.9  0.9,32.9  0,14.7 ,21.3 ,5.4  0.7,1541,58.5 ,61.0 ,23.9 
16,beans,,,0.2,,,2.3,0.1,,,6.5,0.6,3.2
17,Fava beans,,,,,,,,,,,,
18,Taifun,n.d.,n.d.,n.d.,n.d.,2.9  1.1,n.d.,n.d.,n.d.,10.0 ,5.3  0.3,2.0  0.5,n.d.
19,,,,,,,,,,0.4,,,
20,Ris9118,14.5 ,10.2 ,n.d.,n.d.,n.d.,n.d.,tr.,tr.,5.6  0.1,1.8  0.2,1.8  0.1,tr.
21,,0.2,0.1,,,,,,,,,,
22,Fury,19.9 ,12.2 ,n.d.,n.d.,n.d.,n.d.,tr.,tr.,2.8  0.4,1.1  0.1,tr.,tr.
23,,0.8,0.2,,,,,,,,,,
24,Fanfare,24.2 ,13.2 ,n.d.,n.d.,n.d.,n.d.,tr.,tr.,3.0  0.1,0.7  0.8,2.8  0.0,1.6  0.6
25,,1.6,0.1,,,,,,,,,,
26,Lynx,13.8 ,10.2 ,n.d.,n.d.,n.d.,n.d.,2.3  0.1,tr.,7.1  0.6,40.0 ,tr.,tr.
27,,0.4,1.1,,,,,,,,0.6,,
28,Fuego,14.6 ,11.4 ,n.d.,n.d.,n.d.,n.d.,tr.,tr.,3.2  0.1,tr.,2.0  0.1,tr.
29,Fuego,2.5,1.0,,,,,,,,,,
30,Vertigo,18.7 ,9.2  0.4,n.d.,n.d.,n.d.,n.d.,tr.,tr.,3.4  0.2,tr.,2.0  0.3,tr.
31,,26,,,,,,,,,,,
