,0,1,2,3,4,5,6
0,Element,Unit,Skim milk powder CRM 063Ra,,Bovine muscle CRM 184a,Bovine muscle CRM 184a,
1,,,Certified value,Found value n=18,Certified value,Certified value,Found value n=9
2,Ca,g/kg,13.490.10,13.74  0.35,,(0.15)b,0.140.02
3,P,g/kg,11.100.13,10.88  0.53,,(8.3),8.79  0.45
4,Mg,g/kg,1.263  0.024,1.241  0.093,,(1.02),1.03  0.37
5,Na,g/kg,17.68  0.19,16.55  1.65,,(16.6),16.89  1.65
6,Na,g/kg,4.37  0.031,4.16  0.23,,(2.0),2.02  0.03
7,Se,g/kg,(129),1327,183  12,,1814
8,Zn,mg/kg,49.0  0.6,48.7  1.5,79 2,,167.3 0.9
9,Fe,mg/kg,2.32  0.23,2.29  0.10,79 2,,78.2  1.2
10,Cu,mg/kg,0.602  0.019,0.574 0.014,,2.36  0.06,2.31  0.02
11,Hg,g/kg,NAC,<3,2.6  0.6,2.6  0.6,<3
