,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Taraxacum,,Chondrilla juncea,Chondrilla juncea,Sonchus oleraceus,Sonchus oleraceus,Cichorium intybus,Cichorium intybus,Scolymus hispanicus,Scolymus hispanicus,Silybum marianum,Silybum marianum
1,,obovatum,,,,,,,,,,,
2,,Aver.,Range,Aver.,Range,Aver.,Range,Aver.,Range,Aver.,Range,Aver.,Range
3,Energy(kJ/100 g,152,114-205,226,120-406,127,91-163,157,137-180,167,53.-280,51.8,42.2-61.4
4,Moisture (g),83.3,79.286.7,79.1,65.989.7,88.2,83.290.8,86.4,84.887.9,84.1,81.892.7,93.4,92.993.8
5,Fat(g,0.22,0.190.27,0.42,0.09-0.79,0.30,0.20-0.41,0.13,Traces-0.25,0.09,0.08-0.11,0.01,Traces-0.03
6,Proteins (g),1.57,1.02-2.09,3.12,1.99-6.13,2.19,1.31-3.48,2.85,1.474.26,1.75,0.34-5.25,0.64,0.46-0.81
7,TAC(g),3.34,1.63-5.39,5.17,1.49-9.69,2.48,0.94-4.20,3.53,1.76-4.68,3.38,1.14-9.24,1.12,0.49-1.73
8,Fibre(g),7.01,5.37-8.65,9.65,4.11-13.44,4.38,3.55-5.57,6.05,5.14-6.67,7.00,3.11-12.26,2.55,2.34-2.90
9,Ashg,2.13,1.75-2.49,3.03,1.39-4.35,2.04,1.61-2.73,1.78,1.65-2.14,3.19,1.69-5.17,1.54,1.03-1.89
10,Na(mg),34.9,5.1-61.7,29.2,10.6-58.0,150,43.5-270,75.9,37.2-170,39.1,11.265.3,81.0,24.7-127.8
11,K(mg),566,375-685,754,433-1221,574,494-790,699,535-1085,1040,559-1772,718,432-1300
12,Ca(mg,117,16-269,301,22472,164,127-230,100,45-136,235,124-410,132,42-171
13,Mg (mg),18.2,2.334.6,40.8,2.773.5,33.7,27.548.2,25.5,9.8-33.9,93.9,17.5-210.0,17.3,10.3-22.6
14,Cu(mg),0.15,0.08-0.22,0.43,0.12-0.90,0.05,0.02-0.10,0.11,0.06-0.21,0.09,0.05-0.13,0.08,0.01-0.17
15,Fe(mg),3.57,2.58-4.18,3.97,1.47-6.57,0.88,0.59-1.19,1.17,0.41-2.00,2.36,1.39-3.11,0.50,0.47-0.55
16,Mn(mg),0.33,0.150.53,0.97,0.57-1.45,0.46,0.37-0.63,0.26,0.17-0.47,0.37,0.16-0.57,0.10,0.030.21
17,Zn(mg),0.50,0.220.90,1.63,0.533.81,0.59,0.440.84,0.37,0.080.51,0.50,0.340.92,0.26,0.210.35
