,0,1,2
0,Common name,Scientific name,Some characteristics
1,(local name),,
2,Common fruits,,
3,"Mango,Nam-dok-",Mangifera indica,Seasonal
4,"mai variety, ripe",,
5,"Mango,Kiew-sa-",Mangifera indica,Seasonal
6,"weya variety,unripe",,
7,Guava,Psidium guajava,Year round.10-12cm
8,,,in diameter
9,"Papaya,ripe","Carcinia papaya, Linn",Year round
10,Mangosteen,Garcinia mangostana,Seasonal
11,"Banana,Nam-wa",Musa sapientum,Year round
12,variety,,
13,Indigenous fruits,,
14,Makiang,Cleistocalyx nervosum,"Seasonal, small."
15,,var paniala,"1cm 1.5cm,firm"
16,,,"flesh fruit,deep red"
17,Maluod,Elaeagnus iatifolia,"Seasonal,medium"
18,,Linn.,"2cm 3cm,soft flesh"
19,,,"fruit, pink-red,"
20,,,tomato like
