,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Compound (mg/L),R(E),,AV(E),AV(E),,,RO(E),,,Pr(E),Pr(E),,A(E),
1,,1997,1998,1997,,1998,,1997,1998,1998,,1997,1998,1997,1998
2,(A) White wines from the five varieties in the same sub-region,,,,,,,,,,,,,,
3,Alcohols,,,,,,,,,,,,,,
4,Hexanol,0.04,0.20,0.03,,0.61,,0.03,0.81,0.06,0.73,0.03,0.87,0.46,0.67
5,cis-3-Hexenol,0.05,0.27,0.08,,0.03,,0.07,0.06,0.06,0.03,0.10,0.14,0.01,0.29
6,Butanol,0.05,0.27,0.08,,0.25,,0.07,0.20,0.20,0.10,0.10,0.14,0.29,0.29
7,Benzyl alcohol,0.14,0.10,0.29,,0.06,,0.19,0.02,0.02,0.21,0.21,0.06,0.16,0.2
8,2-Phenyl ethanol,28.66,14.56,20.42,20.42,24.91,,67.27,,18.05,30.92,30.92,16.93,49.11,38.03
9,4-Methyl-pentanol,0.09,0.04,22.01,,0.09,,0.07,0.03,0.03,0.08,0.08,0.08,0.06,0.10
10,Total,29.72,15.73,22.01,,25.95,,68.74,19.17,19.17,32.07,32.07,18.12,50.09,39.30
11,Esters,2.28,,3.79,,,,,,,,2.78,2.57,,2.20
12,Isoamil acetate,2.28,4.02,3.79,,4.49,,3.65,3.33,3.33,2.78,2.78,2.57,2.73,2.20
13,Hexyl acetate,0.07,0.06,0.27,,0.05,,0.16,0.08,0.08,0.08,0.18,0.29,0.05,0.03
14,2-Phenyl ethyl acetate,0.18,1.44,0.27,,0.73,,0.76,0.57,0.57,0.18,0.18,0.29,0.34,0.43
15,Ethyl hexanoate,0.43,0.47,0.64,,0.50,,0.66,0.41,0.41,0.76,0.76,0.96,0.72,0.59
16,Ethyl octanoate,0.17,0.24,0.22,,0.32,,0.20,0.25,0.25,0.15,0.15,0.20,0.19,0.31
17,Ethyl decanoate,0.04,0.01,0.05,,0.01,,0.05,0.01,0.01,0.02,0.02,0.01,0.04,0.01
18,Isoamyl lactate,nd,nd,nd,,Nd,,0.12,nd,nd,nd,nd,0.01,Nd,Nd
19,Dietil succinate,0.16,0.07,0.13,,0.13,,0.12,0.07,0.07,nd,nd,0.20,0.12,0.22
20,Ethyl piruvate,0.04,0.08,0.03,,0.06,,0.06,0.06,0.06,0.04,0.04,0.06,0.06,0.05
21,Ethyl-3-hydroxy-butyrate,0.18,0.13,0.14,,0.13,,0.14,0.07,0.83,0.21,0.21,0.66,0.08,0.06
22,Ethyl-4-hydroxy-butyrate,0.07,1.28,0.07,,0.01,,0.12,0.83,0.11,1.25,0.06,0.66,0.05,0.66
23,Diethyl malate,0.07,1.05,0.07,,0.01,,0.12,0.11,0.11,0.06,0.06,0.04,0.05,0.22
24,Monoethyl-2-hydroxy- glutarate,0.06,0.12,0.01,,0.09,,0.03,0.20,0.20,1.40,0.07,0.31,1.78,0.12
25,Diethyl-2-hydroxy- glutarate,0.06,0.11,6.88,,Nd,,8.42,nd,nd,0.07,7.00,0.07,0.19,0.12
26,Total,6.13,9.08,6.88,,7.65,,8.42,5.99,5.99,7.00,7.00,5.52,7.72,5.34
27,Acids,0.12,0.40,,,,,,,,,,,,
28,Butyric,0.12,0.40,0.04,,0.38,,0.04,0.35,0.35,0.08,0.08,0.07,0.03,0.40
29,Isobutyric,0.08,0.13,0.07,,0.08,,0.09,0.15,0.15,0.09,0.09,0.07,0.07,0.10
30,Isovaleric,0.26,0.23,0.20,,0.10,,0.23,0.21,0.21,0.28,0.28,0.16,0.25,0.25
31,Hexanoic,5.92,7.29,9.47,,6.43,,9.23,5.89,5.89,7.25,9.91,3.49,6.96,9.29
32,Decanoic,1.14,0.35,1.33,,0.17,,1.46,0.27,0.27,1.60,1.60,0.10,1.32,0.24
33,9-Dodecanoic,0.30,0.10,0.72,,0.03,,0.02,0.03,0.03,0.78,0.78,0.01,0.07,nd
34,Monoethyl succinic,3.39,1.18,2.91,,1.70,,5.08,1.54,1.54,6.83,6.83,3.49,6.70,3.27
35,Total,14.80,15.80,20.74,20.74,15.96,,22.59,16.05,16.05,26.82,26.82,14.20,24.50,21.41
36,Phenols,,,,,,,0.20,,,,,,,
37,4-Vinyl guaiacol,0.07,0.10,0.16,,Nd,,0.20,0.01,0.01,0.15,0.15,nd,0.15,nd
38,Lactones,,,,,,,,,,,,,,
39,-Butirolactone,0.94,0.56,0.70,,0.52,,1.09,0.72,0.72,1.82,1.82,0.71,1.08,1.27
40,Aldehydes,,,,,,,,,,,,,,0.12
41,Acetoine,0.04,0.62,0.08,,1.14,,0.10,0.66,0.66,0.16,0.16,0.86,0.12,0.12
42,Total,51.70,41.89,50.57,50.57,51.22,,101.14,42.6,42.6,68.02,68.02,39.41,83.66,67.44
43,Compound (mg/L),R(P),,,R(B),,R(Rd),R(Rd),,,R(Rg),R(Rg),,R(V),
44,,1997,1998,,1997,,1997,,1998,,1997,1997,1998,1997,1998
45,(B) White wine Roupeiro from the eight sub-regions of the Alentejo region,,,,,,,,,,,,,,
46,Alcohols,,,,,,,,,,,,,,
47,Hexanol,0.80,0.55,,1.17,,0.48,,0.46,,0.61,,0.56,0.79,0.55
48,cis-3-Hexenol,0.09,0.10,,0.15,,0.04,,0.17,,0.04,0.04,0.20,0.05,0.19
49,Butanol,0.08,0.30,,0.07,,0.16,,0.22,,0.07,0.07,0.10,0.10,0.20
50,Benzyl alcohol,0.23,0.03,,0.21,,0.18,,0.11,,32.33,0.17,0.09,0.20,28.20
51,2-Phenyl ethanol,61.94,17.30,,24.37,,23.97,23.97,18.19,,32.33,32.33,28.90,16.87,0.07
52,4-Methyl-pentanol,0.13,0.06,,0.08,,0.04,,0.08,,0.06,0.06,0.09,0.06,0.07
53,Total,63.27,18.34,,26.05,,24.87,24.87,19.23,,33.28,33.28,29.94,18.07,29.31
