,0,1,2,3,4,5,6,7,8
0,,LOD (g/mL),,LOQ (g/mL),,%RSD,,Recovery (%)+SD,
1,Carbohydrates,,,,,,,,
2,,DAD,ELSD,DAD,ELSD,DAD,ELSD,DAD,ELSD
3,Mannose,2.81,41.91,8.51,127.01,7.16,5.77,93.920.69,105.001.26
4,Glucosamine,2.43,38.63,7.36,117.06,2.88,1.95,106.400.26,103.76+0.41
5,Ribose,2.21,43.26,6.70,131.09,7.33,10.45,97.801.11,100.165.05
6,Maltose,3.50,40.03,10.61,121.30,3.81,2.48,105.420.21,102.79+0.37
7,Lactose,3.89,39.70,11.79,120.30,3.87,17.72,90.860.19,112.323.17
8,Glucose,2.01,38.32,6.09,116.12,3.35,2.65,105.070.36,102.890.82
9,Galactose,2.01,38.85,6.09,117.73,6.41,18.89,94.79+0.72,105.20+5.56
10,Xylose,2.51,39.72,7.61,120.36,3.44,5.19,115.600.25,108.080.78
