,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Species,,K,P,Mg,S,Ca,Si,Na,Ni,Cu,Fe,Zn,Mn
1,,s,3700  50,530  30,180  20,250  10,240  20,110  0.8,30  1.4,0.9  0.1,2.8  0.6,7.2  0.8,6.6  0.4,1.9  0.1
2,Bambusa balcooa,B,2700  40,440  40.,120  10,210  10,230  30,100  0.8,20  1.2,0.8  0.1,2.0  0.4,6.8  0.6,6.0  0.4,1.4  0.1
3,,Fr,3520  40,360  20,120  10,200 10,160  10,120  1.2,30  1.4,0.8  0.1,2.6  0.6,8.2  0.8,5.6  0.4,0.9  0.1
4,,s,3810  50,590  40,190  20,290  20,210  20,90  0.8,30  1.4,0.4  0.1,2.7  0.6,7.0  0.8,10  0.8,2.8  0.2
5,B.bambos,B,2770  30,370  20,140  10,240 10,230  20,80  0.8,20  1.2,0.6  0.1,1.7  0.4,5.9  0.6,7.7  0.8,2.0  0.2
6,,Fr,3370  50,350  20,120  10,200  10,180  20,90  0.8,30  1.4,0.6  0.1,2.4  0.6,8.0  0.8,9.4  0.8,6.2  0.6
7,,s,4120  60,520  40,190  20,290  20,200  20,110  0.8,60  1.8,0.6  0.1,2.5  0.6,9.4  0.8,6.0  0.8,6.2  0.6
8,B. nutans,B,3530  40,430  40,140  10,240  10,130  10,110  0.8,,0.5  0.1,2.2  0.4,10.6  1.0,4.5  0.4,3.5  0.6
9,,Fr,4500  60,410  40,160  10,230  10,120  10,130  1.2,60  1.8,0.6  0.1,2.6  0.6,12  1.2,5.4  0.4,3.5  0.6
10,,,3320  50,530 40,180  20,270  20,190  20,120  1.4,20  1.2,0.8  0.1,2.7  0.6,7.2  0.8,7.2  0.8,1.2  0.2
11,Dendrocalamus giganteus,Fr,2790  30,490  30,160  10,250  10,170  10,110  0.8,20  1.2,0.7  0.1,2.7  0.6,7.2  0.8,6.8  0.4,1.1  0.2
12,,Fr,2310  30,260  20,10010,190  20,180  20,1100.8,50  1.8,0.9  0.1,3.3  0.8,6.9  0.6,8.6  0.8,0.8  0.2
13,,s,4810  50,560  30,190  20,290  20,230  20,170  1.8,40  1.2,0.6  0.1,2.8  0.6,7.1  0.8,7.3  0.8,1.0  0.1
14,D. hamiltonii,B,4790  60,54040,17010,220  10,210  10,150  1.2,30  1.4,0.7  0.1,2.0  0.4,5.6  0.6,6.2  0.4,1.0  0.1
15,,Fr,3980  40,380  20,13010,210  10,130  10,140  1.2,50  1.8,0.8  0.1,2.5  0.6,7.4  0.8,6.8  0.4,0.8  0.1
16,,S,3930  40,420  40,150  10,220  10,180  20,110  0.8,60  1.8,0.9  0.1,1.7  0.2,9.1  1.0,7.3  0.8,6.4  0.6
17,D. latiflorus,B,3400  40,420  40,150  10,210 10,120  10,150  1.4,30  1.4,0.9  0.1,1.8  0.2,9.1  1.0,7.9  0.8,5.3  0.6
18,,Fr,3280  40,540  30,110 10,240  10,110  10,140  1.4,50  1.8,0.9  0.1,2.6  0.6,7.7  0.8,7.9  0.8,1.5  0.1
19,,S,4730  50,540  30,180  20,240  10,280  20,140  1.4,80  2.2,0.8  0.1,2.6  0.6,6.6  0.6,6.2  0.4,1.2  0.1
20,D. membranaceus,B,4430  60,58040,180 20,230  20,210 20,120  1.2,60  1.8,0.9  0.1,2.2  0.4,6.5  0.6,7.0  0.8,1.1  0.1
21,,Fr,5550  70,440  20,190  20,230  10,160 10,140  1.4,90  2.2,0.9  0.1,2.5  0.6,8.6  0.8,5.8  0.4,0.9  0.1
22,,,4010  30,440  20,190  20,280  20,250  20,100  1.2,80  2.2,0.8  0.1,2.5  0.6,8.6  0.8,5.8  0.4,2.6  0.1
23,D. sikkimensis,B,3320  40,320  20,14010,250  20,15010,100  1.2,0,0.6  0.1,2.3  0.4,9.8  0.8,4.2  0.4,
24,,Fr,4330  50,370  20,15010,240  20,13010,120  1.2,60  1.8,0.8  0.1,3.1  0.8,14  0.8,9.8  0.8,8.4  0.8
25,,S,5750  60,890  30,210 10,390  10,190  10,70  0.8,20  1.2,0.5  0.1,2.5  0.6,8.5  0.8,10  0.8,7.6  0.8
26,Phyllostachys mannii,B,5710  60,870  40,210  20,330  10,18010,60  0.8,10  1.2,0.8  0.1,2.5  0.6,8.4  0.8,10  0.8,7.6  0.8
27,,Fr,5380  60,860  30,190  20,310  20,120  10,60  0.8,70  1.8,0.9  0.1,2.5  0.6,9.1  1.0,4.5  0.4,8.2  0.8
