,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Fruits,4.3,Co,Cr,Cu,Mn,Mo,Ni,Sr,TI,U,V,Zn
1,Apricot,4.3,0.21,0.53,82.5,43.5,1.5,10.1,75.5,0.07,0.055,0.27,108
2,Peach,18.3,0.36,5.09,388,211,5.6,11.3,101,0.79,0.079,0.22,435
3,(14),,,,,,,,,,,,
4,Prune,4.3,0.05,0.33,71.7,48.5,0.9,0.9,33.8,0.14,0.017,0.04,41.4
5,Olive,1.1,0.09,0.68,61.0,31.1,1.1,2.3,24.7,0.01,0.026,0.17,65.8
6,(5),,,,,,,,,,,,
7,Grape,4.5,0.10,0.68,385,63.4,2.1,1.3,179,0.22,0.050,0.24,53.5
8,Hazelnut,0.3,0.56,0.21,164,138,11.6,5.4,126,0.03,0.005,0.10,210
9,Walnut,0.4,0.36,0.26,120,132,4.1,5.8,59.1,0.13,0.002,0.02,274
10,(5),,,,,,,,,,,,
