,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Wood,Days,TPI,Compounds,Compounds,,,,,,,,,,,,,,,,,,,
1,,,,1,,5,,6,,8,,10,,11,,13,,14,,15,,19,,20
2,Acacia,0,1594121,,40.90  0.04,,,,5.1  1.3,,-,,,,-,-,-,,1,,,,-,
3,,45,1723  61,,40.9  0.3,,3.04  0.09,,2.9  0.8,,-,,-,,-,,,,-,,1.72  0.03,-,-,-
4,,180,1690 141,,38.32 0.021,,,,3.67  0.01,,-,,-,,-,,,5.72  0.02,5.72  0.02,,-,,1,-
5,,365,152320,,42.05  0.03,,-,,,,-,,1,,,,0.900.01,1.560.03,1.560.03,-,-,-,-,
6,Cherry,,106620,,33.00.4,,-,,4.540.01,,-,,3.64  0.06,,-,,,,-,,,-,-,-
7,,45,837.14 20.20,,33.210.14,,,,4.370.06,,2.350.06,,3.86  0.06,,,,,,,,,,,-
8,,180,265.160.6,,34.43  0.03,,1.47 0.03,,4.83 0.01,,2.52  0.04,,3.98  0.14,,3.61 0.01,-,-,4.92  0.05,,,,,1.940.01,-
9,,365,465.50  20.20,,36.01 0.00,,,,,,,,2.77 0.06,,2.47 0.00,,0.73  0.01,1.400.02,1.400.02,-,-,,1.690.03,
10,Oak,0,140961,,38.66  0.08,,=,,4.48  0.02,,,,4.95  0.00,,,,,,-,,,,-,-
11,,45,1394202,,40.08  0.09,,,,4.48  0.05,,2.69  0.00,,4.78  0.04,,,,,,-,11,11,,111,-
12,,180,437.9  60.6,,46.23  0.03,,,,4.82  0.03,,-,,4.230.04,,4.85  0.04,,,5.64  0.05,,11,11,,111,
13,,365,879.5  40.4,,49.48  0.04,,,,,,,,2.87 0.03,,4.79  0.02,,0.900.05,2.36  0.05,,,,,111,4.65  0.03
14,Chestnut,0,851.4  40.4,120.81  0.10,120.81  0.10,,,,3.34  0.04,,,,3.48  0.09,,,,-,17.82  0.19,,-,-,,-,3.18  0.04
15,,45,196681,,163.00.4,,5.710.01,,,,3.28  0.04,,,,4.85  0.02,,-,17.07  0.06,,,1,,,
16,,365,182340,334.79  0.12,334.79  0.12,,5.06  0.02,,-,,3.28  0.04,,-,,5.29  0.01,,,26.65  0.04,,-,-,,-,1.93  0.00
17,,365,182340,,384.0  0.5,,,,-,,-,,-,,,,,22.60.3,22.60.3,,,,,4.770.13
