,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Cultivar,Fruit weight (g),Fruit weight (g),,Soluble solids (SS) (%),Soluble solids (SS) (%),,Acidity (TA) (%),Acidity (TA) (%),,SS/TA,,,pH,,
1,,Mich.,Ore.,Mean,Mich.,Ore.,Mean,Mich.,Ore.,Mean,Mich.,Ore.,Mean,Mich.,Ore.,Mean
2,Aurora,1.4,1.9,1.7,11.7,14.3,13.0,1.3,1.4,1.4,8.9,10.0,9.5,3.0,3.2,3.1
3,Draper,1.6,2.7,2.1,10.9,11.9,11.4,0.5,1.7,1.1,22.1,6.9,14.5,3.7,3.1,3.4
4,Duke,1.1,1.7,1.4,11.7,13.3,12.5,0.6,0.8,0.7,19.0,17.4,18.2,3.7,3.4,3.4
5,Legacy,1.2,1.7,1.5,13.1,16.6,14.9,1.1,1.1,1.1,11.8,15.7,13.8,3.2,3.5,3.4
6,Liberty,1.0,2.0,1.5,11.7,13.1,12.4,0.4,0.9,0.7,26.0,14.8,20.4,3.8,3.4,3.6
7,Liberty,1.1,1.5,1.3,16.2,14.2,15.2,0.6,1.1,0.8,28.5,12.9,20.7,3.6,3.3,3.5
8,Mean,1.6,1.9,1.8,12.3,11.4,11.8,0.3,0.8,0.6,37.3,13.6,25.5,3.9,3.3,3.4
9,LSD5%Z,1.3,1.9,1.6,13.5,12.5,13.0,1.1,0.7,0.9,13.0,22.0,17.5,3.3,3.6,3.4
10,LSD5%Z,0.16,0.22,0.13,0.46,0.35,0.28,0.04,0.02,0.02,0.70,1.03,0.59,0.05,0.03,0.03
