,0,1,2,3
0,Date,,,Location
1,April 1982,,"Buffalo,NYHartford,CTNewarkN","Buffalo,NYHartford,CTNewarkN"
2,July 1982,,"Fresno, CA;Phoenix, AZ; Salt Lake City, UT","Fresno, CA;Phoenix, AZ; Salt Lake City, UT"
3,November 1982,November 1982,"Green Bay, WI; Chicago IL; Detroit, MI","Green Bay, WI; Chicago IL; Detroit, MI"
4,February 1983,February 1983,"Norfolk,VA;Atlanta,GA;Jacksonville,FL","Norfolk,VA;Atlanta,GA;Jacksonville,FL"
5,June 1983,,"Boston,MA;New York,NY;Montgomeryville,PA","Boston,MA;New York,NY;Montgomeryville,PA"
6,September 1983,September 1983,"HonoluluHI;San Diego,CA;Portland,OR","HonoluluHI;San Diego,CA;Portland,OR"
7,December1983-,December1983-,"Topeka,KS;St.Louis,MO;Dayton,OH","Topeka,KS;St.Louis,MO;Dayton,OH"
8,January 1984,January 1984,,
9,,,"March-April 1984 Beaumont/Port Arthur/Orange, TX; Nashville, TN; San","March-April 1984 Beaumont/Port Arthur/Orange, TX; Nashville, TN; San"
10,,,JuanPR,
11,June-Ju1y 1984,June-Ju1y 1984,"Lancaster,PA;Nassau-Suffolk,NY;Rochester,NY","Lancaster,PA;Nassau-Suffolk,NY;Rochester,NY"
12,September-,September-,"Tacoma,WA; Bakersfield,CA; Salt Lake City,UT","Tacoma,WA; Bakersfield,CA; Salt Lake City,UT"
13,0ctober 1984,0ctober 1984,,
14,,,"January-February St.Cloud,MN; Rockford,IL;Flint,MI","January-February St.Cloud,MN; Rockford,IL;Flint,MI"
15,1985,,,
16,April 1985,April 1985,"Dallas/Ft.Worth,TX;Macon,GA;Charleston,WV","Dallas/Ft.Worth,TX;Macon,GA;Charleston,WV"
17,July 1985,,"Portland,ME; Lonq Beach/Asbury Park, NJ; New York,","Portland,ME; Lonq Beach/Asbury Park, NJ; New York,"
18,,,"Dctober-November Los Angeles/Long Beach,CA;Sacramento,CA;Sioux","Dctober-November Los Angeles/Long Beach,CA;Sacramento,CA;Sioux"
19,1985,,FallsSD,
20,January,1986,"Chattanooga,TNFt.Smith, AR;Miami, FL","Chattanooga,TNFt.Smith, AR;Miami, FL"
21,April 1986,April 1986,"Cleveland,OHDavenport,IA/RcckIsland-MolineIL","Cleveland,OHDavenport,IA/RcckIsland-MolineIL"
22,,,"Wichita, KS",
