,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,VN,VN,VN,,,VN,VN,VN,,,VN,VN,VN,VN,,VN,
1,,,1111-,,,,,,,,,,,,,,,,
2,9880,,,,,,,,,,,,1110,,0112,,,,
3,8980,,0000,,,,,000,,,,,0114,,,,,,
4,,,,002.2,6000,9000,,,0005,0100,6000,,,8810,,1860,,,1100
5,,"z""s 6000'0 + ds",,,,zVV 96'0I+VV,zVV 96'0I+VV,,,,,19080,,,,,,0000+,
6,,,VN,VN,VN,,,VN,VN,,,,VN,,,,,VN,VN
7,,,,,,9680,,,,,,,,,,,,,
8,,,1446,,,,,,.69,,9000,,,,000.2,0212,,,1717
9,,,8090,,1806,,,,,,,,,,0960,1990,,,
10,,,8180,,,,,,,,0000,,,,,,,,
11,0000,,,,000,9000,,,,,000,,,,,,,6800,
12,,,,zS 8S60'0 +S,,,zVV LSS'8,,z7 0b98'0,,,z 3V StZ8'0,,,,,0 98008,,
13,,,,,,,,,,,,,s,,,,,,u
14,,,,(%) irtrrts,,,,,,,,,,,,,,,
