,0,1,2,3,4,5,6,7,8,9,10
0,Food categories,N,Stepsa,,,,,,,,
1,,,1,2,3,,4,,5,,6
2,Non-alcoholic beverages,280,30,45,199,199,,0,,6,0
3,Cereals and cereal products,392,0,125,247,247,14,14,,6,0
4,Cereal based products and dishes,528,0,36,357,357,118,118,17,17,0
5,Fats and oils,96,96,0,,0,,0,,0,0
6,Fish and seafood products and dishes,226,137,8,,70,,1,10,10,0
7,Fruit products and dishes,168,4,50,106,106,,0,,8,0
8,Egg products and dishes,23,21,0,,1,,0,,1,0
9,"Meat, poultry and game products and dishes",868,643,2,180,180,,1,42,42,0
10,Milk products and dishes,297,35,46,191,191,,0,25,25,0
11,Dairy substitutes,48,1,24,,22,,0,,0,1
12,Soups,74,4,2,,54,,0,14,14,0
13,Seed and nut products and dishes,46,6,3,,23,,0,14,14,0
14,Savoury sauces and condiments,95,10,0,,9,,0,75,75,0
15,Vegetable products and dishes,350,86,16,137,137,,0,111,111,0
16,Legume and pulse products and dishes,50,6,11,,27,,0,,6,0
17,Snack foods,28,0,18,,17,,0,,3,0
18,Sugar products and dishes,60,0,18,,39,,0,,3,0
19,Confectionery and cereal/nut/fruit/seed bars,112,0,14,,82,,0,16,16,0
20,Alcoholic beverages,25,16,0,,8,,0,,1,0
21,Special dietary foods,10,0,3,,7,,0,,0,0
22,Miscellaneous,74,29,0,,0,,0,34,34,11
23,Infant formulae and foods,21,0,4,,17,,0,,0,0
24,All food groups,3871,1124,416,1793,1793,135,135,391,391,12
