,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Tiamin,Riboflavin,Niacin,Ascorbic,Pyridoxine,Retinol,Retinol,Beta,Vit E,Vit D,Vit K,Vit B12
1,,(mg/,(mg/100 g),(mg/,100 g),(mg/100 g),Equiv.,100 g),Carotene,(mg/,(meg/,100 g),(meg/
2,,100 g),,100 g),100 g),,100 g),100 g),(meg/,100 g),100 g),100 g),100 g)
3,,,,,,,100 g),100 g),100 g),,,100 g),
4,Fiadone,0.1,0.3,0.5,0.0,0.2,138.4,129.6,53.4,1.9,0.8,4.1,0.8
5,Anellini alla,tr,0.1,0.5,10.9,0.1,89.2,41.0,289.9,1.6,0.2,5.8,0.2
6,pecorara,,,,,,,,,,,,
7,Brodo di,0.1,0.1,0.6,1.4,0.1,47.7,37.9,58.9,0.7,0.2,18.3,0.2
8,cardone con,,,,,,,,,,,,
9, stracciatella e,,,,,,,,,,,,
10,pizza rustica,,,,,,,,,,,,
11,Pan cotto,tr,0.1,0.6,4.8,0.1,172.5,27.9,868.0,1.3,0.2,129.4,0.2
12, Pasta alla,0.1,0.1,1.0,8.7,0.1,51.0,4.7,278.2,0.5,0.1,2.9,0.3
13,mugnaia,,,,,,,,,,,,
14,Pasta allo,tr,0.2,0.6,18.1,0.1,201.5,62.8,832.8,1.2,0.2,77.8,0.3
15,sparone,,,,,,,,,,,,
16,Pizza e fuje,0.1,tr,0.8,14.1,tr,43.5,1.0,255.3,2.1,0.1,53.9,tr
17, Spaghetti alla,0.1,0.1,1.3,3.4,0.2,56.2,38.5,106.3,1.0,0.4,4.8,0.6
18,chitarra con,,,,,,,,,,,,
19,pallottine,,,,,,,,,,,,
20,Agnello cacio e,0.2,0.4,6.3,0.1,0.4,64.9,59.7,31.6,1.6,0.8,5.4,3.3
21,ove,,,,,,,,,,,,
22,Baccala'con,0.1,0.1,1.9,9.8,0.3,20.1,0.0,120.8,1.5,0.0,3.0,0.3
23, patate e cipolle,,,,,,,,,,,,
24,Brodetto alla,tr,0.0,1.4,15.2,0.2,66.8,3.6,379.2,1.1,0.1,6.2,2.1
25,vastese,,,,,,,,,,,,
26,Pallotte cacio e,tr,0.2,0.5,7.7,0.1,119.3,71.6,286.8,2.8,0.4,6.9,0.5
27,ove,,,,,,,,,,,,
28,Ciabotta,0.1,0.1,1.2,36.2,0.2,117.5,0.0,705.0,1.1,0.0,8.9,0.0
29,Bocconotto,0.1,0.1,0.6,0.3,0.1,56.0,52.0,24.1,4.6,0.4,5.7,0.2
30,Ferratelle,0.1,0.2,0.6,0.7,0.1,109.4,102.1,43.9,4.3,0.9,10.1,0.6
31,Parrozzo,0.1,0.2,1.0,0.0,0.1,73.6,103.4,28.3,5.3,0.6,6.1,0.2
32,Pizza doce,0.1,0.1,0.4,1.1,0.1,113.1,103.4,58.7,0.6,0.6,1.1,0.4
