,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Food group,Ca,Na,K,Mg,Zn,Fe,Mn,Cu,1,Se,Ni,Cr,Co,Pb,Cd
1,Cereal products,7,24,12,26,20,37,53,31,3,18,29,16,26,24,48
2,Pastries,1,3,2,4,2,6,7,6,0,1,11,12,8,6,6
3,Meat products,2,29,3,9,31,2,1,10,,20,2,4,2,9,4
4,Fish,1,6,3,2,2,2,<1,2,15,21,<1,4,1,3,2
5,Dairy products,74,14,21,18,29,2,1,4,55,16,7,3,11,4,1
6,Egg,1,1,1,1,3,5,<1,1,5,9,<1,<1,1,<1,<1
7,Fats,1,10,0,0,0,<1,<1,<1,1,2,<1,1,<1,<1,<1
8,Vegetables,4,5,10,5,3,7,6,9,2,2,3,1,5,5,11
9,Fruit,3,0,12,9,2,5,15,14,1,3,10,8,7,18,1
10,Potatoes,1,2,18,11,3,6,7,9,1,2,5,3,11,4,19
11,"Sugar, sweets, ice cream",4,,5,7,3,7,7,13,9,3,30,34,25,8,6
12,"Soft drinks, light beer",1,1,1,3,0,<1,1,1,2,3,1,2,2,3,1
13,"Strong beer, wine, spirits",1,0,2,3,0,2,2,<1,1,1,2,4,2,15,<1
