,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Variety,Pulp,,,,,,,,,Kernel,,,,,,
1,,Na,,Ca,,K,,Mg,P,,Na,Ca,,K,,Mg,P
2,,mg/100g,mg/100g,,,,,,,,mg/100g,,,,,,
3,Mayon#1,248  8a,248  8a,813,3c,3500,93d,841e,181d,181d,0a,1081c,1081c,674  10e,674  10e,263  2d,507 26b
4,Orbase,120  8c,120  8c,586,4f,4000,99b,1001d,250  8a,250  8a,1bc,93  2d,93  2d,760,5c,258  4d,595  32ab
5,Magayon,15410b,15410b,8585b,8585b,2820,57e,122  2c,11816c,11816c,14,1253b,1253b,807,6b,274  2c,646  55a
6,Magnaye,94  3d,94  3d,51448,51448,37303,39c,90  2e,15014bc,15014bc,110c,127  2b,127  2b,924,6a,249  1e,632  25a
7,Lanuza,82,6d,757  12d,757  12d,4060,31b,150  2a,233,17a,1c,126 2b,126 2b,752,13c,290  3b,48751b
8,Laysa,78,3d,730  2e,730  2e,3670,12cd,106  od,117,7c,0c,155, 4a,gde,gde,290  3b,560  56ab
9,M.Orolfo,78,6d,1090  9a,1090  9a,43004,41a,1305b,15610b,15610b,111c,1604a,1604a,714  7d,714  7d,3004a,54041ab
10,P,*,, *,, 2,,**,**,,*,**,, ,,*,*
11,n,3,,3,,3,,3,3,,3,3,,3,,3,3
