,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Harvest day,1,,,7,,,14,,,21,,,28,,,35,,,,
1,Storage day,0,4,7,0,4,7,0,4,7,0,4,7,0,4,7,0,,4,7,
2,Kocuria palustris,1,-,,,-,,,,,-,-,-,,-,,,,-,,
3,Microbacterium maritypicum,-,-,4,,-,-,-,,-,-,,-,,-,,,,,-,
4,Micrococcus luteus,-,-,1,2,2,=,=,,-,-,,=,,-,-,-,,-,-,
5,Staphylococcus warneri,-,-,-,1,,-,=,,,-,,,,-,-,,,,-,
6,Staphylococcus pasteuri,-,-,-,1,,-,-,-,-,-,-,,-,-,-,-,,-,,
7,Staphylococcus hominis,-,-,,1,-,,-,-,-,-,-,,-,-,-,-,,-,,
8,Rothia endophytica,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,
9,Rothia amarae,-,-,,-,2,-,-,1,-,-,-,-,-,-,-,-,,-,,
10,Sphingomonas aerolata,-,-,,-,2,1,-,-,-,-,-,-,-,-,-,-,,-,-,
11,Moraxella osloensis,-,-,-,,-,1,,-,,,-,-,-,-,-,,,-,,
12,Pseudomonas brenneri,-,-,,=,-,-,12,8,9,14,10,10,9,2,-,3,,-,,
13,Pseudomonas libanensis,-,-,-,=,-,-,-,2,,-,-,-,1,-,-,-,,-,-,
14,Pseudomonas synxantha,-,-,-,,,,-,1,,-,-,-,1,-,,-,,-,-,
15,Pseudomonas brassicacearum,-,-,-,=,1,-,-,-,1,-,-,-,,,-,,,-,,1
16,Pseudomonas chlororaphis,-,-,-,-,-,-,-,-,1,-,1,2,-,,-,-,,-,-,
17,Pseudomonas fragi,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,,5,2,
18,Rahnella aquatilis,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,6,,6,3,
19,Pseudomonas tolaasii,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,-,1,
20,Pseudomonas fluorescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,
21,Pseudomonas orientalis,-,-,-,-,-,-,-,-,,,-,-,,-,,1,,,-,
22,Pseudomonas genus,-,,-,-,,-,,-,-,-,-,-,-,2,6,-,,-,-,
