,0,1,2,3,4,5,6,7,8
0,Compound,Fresh MI 31,Fresh MI 4,Fresh MI 5,Fresh MI 5,Brined,CA-style black ripe,CA-style black ripe no Fe,CA-style green ripe
1,Hydroxytyrosol,250  18a,292  7.8ab,375 12c,375 12c,1830  28e,30135ab,334  0.gbc,643  41d
2,Tyrosol,50.7  2.7ab,59.0  4.5b,107, 7.7c,153  4.2d,45.9  4.5ab,39.3  4.0a,89.9  11c
3,Caffeic acid,1.0  0.1a,16.0  6.0b,56.3  8.8c,56.3  8.8c,3.66  0.13a,nq1,nu,nq
4,Verbascoside,34.9  1.2a,136  19b,296  55c,296  55c,191  1.4b,nd2,nd,nd
5,Lutoelin-7-glucoside,105  6.3a,111  17a,215 28b,215 28b, 1.7a,nd,nd,nd
6,Rutin,243  15a,303  16b,284  45ab,284  45ab,18.8  1.5c,nd,nd,nd
7,Oleuropein aglycone,3340  279a,3240  278a,3340  98a,3340  98a,nd,nd,nd,nd
8,Oleuropein,12700  350a,600b,6160,600c,1080  190d,nd,nd,nd
9,Quercitrin,37.1  5.8a,61.7  13b,44.5  15.4ab,44.5  15.4ab,nd,nd,nd,nd
10,Ligstroside,176  5.0a,93.9  11b,91.1  8.9b,91.1  8.9b,nd,nd,nd,nd
