,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,FAA,Time (d),8% (w/w) salt content,8% (w/w) salt content,8% (w/w) salt content,,11% salt content,11% salt content,11% salt content,,14% salt content,14% salt content,14% salt content,
1,,,10,30,60,80,10,30,60,80,10,30,60,80
2,Asp,,2.3,5.6,5.2,6.4,2.0,4.8,6.8,7.9,1.3,2.7,4.2,6.4
3,Thr,,1.4,3.5,5.2,5.3,1.2,2.2,4.0,4.7,0.7,1.4,2.2,3.2
4,Ser,,1.1,0.1,0.1,0.5,0.9,2.4,0.1,0.2,0.8,1.9,2.7,4.5
5,Glu,,5.8,14.7,21.6,22.1,4.8,12.1,16.9,18.5,3.2,4.9,7.9,11.2
6,Gly,,1.1,2.7,4.5,4.8,0.9,2.0,3.1,3.7,0.5,1.0,1.4,2.5
7,Ala,,3.8,6.8,11.3,9.5,3.1,4.5,7.8,7.9,2.3,3.0,4.2,5.7
8,Val,,2.0,4.9,7.3,7.5,1.6,3.2,5.6,6.5,1.0,2.0,2.8,4.8
9,Met,,0.5,1.2,1.4,2.0,0.4,0.9,1.4,1.7,0.2,0.5,0.7,1.3
10,lle,,1.9,5.2,8.0,8.2,1.6,3.4,6.0,7.3,0.9,2.0,3.2,5.3
11,Leu,,3.2,7.9,11.1,11.5,2.3,5.6,9.1,10.3,1.5,3.6,5.0,7.8
12,Tyr,,2.1,4.0,1.4,1.9,1.7,3.7,4.6,0.9,1.3,2.4,3.4,4.2
13,Phe,,3.1,6.7,8.1,8.2,2.5,4.4,7.7,7.4,1.9,3.6,5.0,6.3
14,Lys,,2.3,5.1,8.4,8.6,1.9,3.6,5.9,7.5,1.2,2.1,2.9,5.4
15,His,,0.6,1.5,2.1,1.5,0.5,0.9,1.7,1.8,0.4,0.7,1.0,1.1
16,Arg,,0.7,1.4,0.2,0.0,0.6,0.2,1.6,0.0,0.3,0.8,1.0,0.0
17,Pro,,1.4,3.7,6.0,5.8,1.2,2.6,4.1,5.2,1.0,1.4,2.1,3.5
18,Sub-total,,33.3,75.0,101.9,103.8,27.2,56.5,86.4,91.5,18.5,34.0,49.7,73.2
19,NH3,,2.4,5.0,5.7,5.8,2.0,2.9,5.8,4.8,1.7,1.8,2.5,3.3
