,0,1,2,3,4,5,6,7,8,9,10,11
0,Cultivation,Days after harvest,P,K,Ca,Mg,Na,Zn,Fe,Cu,Mn,Protein
1,,,%,,,,,ppm,,,,
2,2008 harvest,,,,,,,,,,,
3,Conventional,4,1.57a,11.2b,3.35b,0.96a,0.54a,8.38a,11.6a,4.22a,11.5a,6.17a
4,Organic,4,1.80a,13.1a,3.89a,1.00a,0.54a,8.91a,13.2a,3.87a,11.9a,4.42b
5,Conventional,11,1.69a,11.3b,3.33b,1.00a,0.50a,8.91a,12.4a,3.71a,12.0a,6.72a
6,Organic,11,1.73a,12.4a,4.40a,0.93a,0.47a,10.05a,12.4a,3.45a,11.8a,2.54b
7,Conventional,18,1.76a,12.1b,3.47b,1.11a,0.59a,10.05a,12.8a,4.13a,12.3a,6.58a
8,Organic,18,1.97a,13.6a,4.61a,1.13a,0.45b,8.74a,12.8a,3.91a,12.7a,4.82b
9,Conventional,25,1.96a,13.2a,3.31b,1.04a,0.55a,9.63a,13.1a,3.85a,11.9a,6.47a
10,Organic,25,1.96a,13.2a,4.29a,1.09a,0.55a,8.68a,13.1a,4.27a,11.9a,5.36b
11,2010 harvest,,,,,,,,,,,
12,Conventional,4,1.72b,11.2b,3.15a,0.86b,0.31a,5.52a,7.46a,2.89a,4.65a,5.70a
13,Organic,4,2.05a,11.1b,3.12b,0.89a,0.19a,5.08a,9.13a,2.89a,4.93a,5.88a
14,Conventional,11,1.62b,13.5a,3.12b,0.89a,0.27a,5.30a,8.06a,2.89a,4.93a,6.24a
15,Organic,11,2.01a,13.5a,3.92a,0.96a,0.47a,5.29a,9.00a,3.02a,3.72b,5.89a
16,Conventional,18,1.73b,11.1b,3.06b,0.82b,0.47a,6.00a,7.41a,3.09a,4.30a,5.77a
17,Organic,18,2.07a,13.2a,4.20a,0.96a,0.51a,5.71a,8.43a,2.98a,3.76a,5.92a
18,Conventional,25,2.04a,13.0a,2.98b,0.82b,0.51a,5.71a,9.75a,3.50a,4.26a,5.92a
19,Organic,25,2.04a,13.0a,4.17a,0.96a,0.28b,5.00a,9.75a,2.99a,3.77a,5.46a
