,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,SYRAH,,,,MERLOT,,,,CABERNET SAUVIGNON,CABERNET SAUVIGNON,,,PINOT NOIR,,,
1,,Jerez,Cabra,Ronda,Cadiar,Jerez,Cabra,Ronda,Cadiar,Jerez,Cabra,Ronda,Cadiar,Jerez,Cabra,Ronda,Cadiar
2,Harvest date,20/08,13/08,10/09,17/09,20/08,13/08,31/08,17/09,27/08,27/08,31/08,25/09,04/08,27/07,21/08,17/09
3,Dry extract (%),21.42,19.15 (0.73),21.23 (0.68),20.84 (0.74),21.61 (0.09),20.87 (0.64),24.55 (0.27),22.29 (0.63),22.00 (0.48),23.80 (0.67),22.27 (0.08),22.47 (0.06),18.30 (0.36),22.12,22.40,21.73
4,,(0.51),,,,,,,,,,,,,(0.26),(0.47),(0.29)
5,Grape,1.65,1.64 (0.05),1.44 (0.05),1.91 (0.06),1.39 (0.07),1.21 (0.05),1.07 (0.06),1.64 (0.06),1.04 (0.05),1.03 (0.06),1.08 (0.05),1.30 (0.05),1.10 (0.05),1.03,0.98,1.58
6,weightg),(0.06),,,,,,,,,,,,,(0.06),(0.05),(0.07)
7,Brix degree,23.1,21.5 (0.26),23.1 (0.12),22.4 (0.23),22.6 (0.23),22.6 (0.27),25.9 (0.23),24.9 (0.12),22.8 (0.15),24.2 (0.15),24.0 (0.20),24.7 (0.15),18.5 (0.20),23.3,21.9,22.2
8,,(0.12),,,,,,,,,,,,,(0.10),0.10),(0.20)
9,Total acidity,5.01,8.49 (0.13),8.05 (0.01),9.00(0.45),4.98 (0.13),7.71 (0.04),9.60 (0.14),9.56 (0.47),7.56 (0.59),8.17 (0.28),9.37 (0.20),9.57 (0.08),8.78 (0.05),11.44,9.85,9.39
10,g/LTH,(0.05),,,,,,,,,,,,,(0.08),(0.13),(0.17)
11,pH,3.64,3.26 (0.01),3.24 (0.01),3.11(0.01,3.55 (0.00),3.25(0.01,3.04 (0.00),3.02 (0.00),3.35 (0.01),3.23 (0.00),3.11(0.01,2.94 (0.00),3.22(0.01,3.09,3.14,3.03
12,,(0.00),,,,,,,,,,,,,(0.01),(0.00),(0.00)
13,Tartaric acid,5.44,7.81(0.03,8.57(0.07),7.53(0.15,6.31(0.06,9.67 (0.00),9.19 (0.02),8.98 (0.58),7.37 (0.49),6.47 (0.33),9.57(0.03,9.04 (0.02),8.82 (0.27),9.83,10.40,8.11
14,g/L,(0.04),,,,,,,,,,,,,(0.01),(0.10),(0.16)
15,Malic acid,2.60,3.33 (0.14),1.65(0.00),2.37(0.17),1.48 (0.19),1.70 (0.04),1.77 (0.11),1.24 (0.02),2.17 (0.25),2.05 (0.01),2.19(0.20,2.82 (0.01),3.27 (0.01),4.49,3.05,2.06
16,g/L,(0.04),,,,,,,,,,,,,(0.20),(0.04),(0.03)
17,Potassium,2151,2502 (58),1841 (50),1606 (34),2122 (5),2536 (42),1517 (66,1489 (6),2060 (18),2096 (30),1562 (45),1649 (18),2073 (66),2056,1964,1427
18,(mg/L),(49,,,,,,,,,,,,,(53,(58),25)
19,Folin-Ciocalteu,20.06,17.64 (0.33),19.07 (0.72),19.00 (0.2110.96 (0.5711.42(0.28,19.00 (0.2110.96 (0.5711.42(0.28,19.00 (0.2110.96 (0.5711.42(0.28,10.60 (0.28),10.23(0.01,15.020.11,16.581.42,12.76 (0.29),17.900.77),9.63 (0.23,12.20,13.53,11.73
20,Index,(0.40),,,,,,,,,,,,,(0.23),(0.41,(0.21)
21,Maturity index,47.15,25.34 (0.40),29.07 (0.05,25.13(1.2545.83 (1.2429.46(0.1428.23(0.42,25.13(1.2545.83 (1.2429.46(0.1428.23(0.42,25.13(1.2545.83 (1.2429.46(0.1428.23(0.42,25.13(1.2545.83 (1.2429.46(0.1428.23(0.42,26.99(1.32,30.56(2.41,30.231.05,26.03 (0.56,26.630.21,20.280.11,20.90,22.14,23.75
22,,(0.46),,,,,,,,,,,,,(0.14),(0.30),(0.43)
23,Total,767,684 (54),1052 (10),1556 (167),742 (57),630 (37),978 (1),1419 (93),619 (22),500 (16),841 (44),1078 (2),295 (25),1004,645,881
24,anthocyanins,68),,,,,,,,,,,,,(69),(56),14
25,(mg/L),,,,,,,,,,,,,,,,
26,Extractable,417,274 (27),483 (15),532(19),416 (13),251 (56,474 (7,468 (3),315 (26),284 (7),413 (6),344 (62),124 (40),460,315,248
27,anthocyanins,11),,,,,,,,,,,,,(13,(22),(4)
28,Extractability,45.4,61.9 (14.4),54.1 (1.0),65.7 (2.5),43.8 (6.1),60.4 (6.5),51.5 (0.7),67.0 (2.4),49.1 (5.9),43.2 (3.2),50.8 (3.3),68.1 (5.8),58.6 (9.9),54.1,51.1,72.1
29,,(3.5),,,,,,,,,,,,,(4.4),(0.8),(0.9)
30,Skin tannins,1.17,0.34 (0.08),1.35 (0.04),1.49 (0.05),1.16 (0.04),0.7 (0.16),1.33 (0.02),1.31 (0.01),0.88 (0.07),0.79 (0.02),1.16 (0.02),0.96 (0.17),0.35(0.11),1.29,0.88,0.69
31,g/L,(0.03),,,,,,,,,,,,,(0.04),(0.06),(0.01)
32,Seed tannins,1.88,1.06 (0.18),1.32 (0.03),0.86 (0.15),1.59(0.10),0.91 (0.05),1.64 (0.11),1.30 (0.06),1.27 (0.01),1.44 (0.17),0.75(0.05),1.18 (0.15,1.40 (0.18,1.79,1.31,1.18
33,g/L),(0.12),,,,,,,,,,,,,(0.35),(0.13),(0.03)
34,Tannins (g/L),3.04,2.62 (0.10),2.68 (0.01),2.35 (0.20),2.750.06,1.61(0.20,2.97 (0.09),2.61 (0.05,2.15 (0.06,2.23 (0.15),1.91(0.07,2.14 (0.33),1.74 (0.29),3.08,2.19,(0.02)
35,,(0.15),,,,,,,,,,,,,(0.31),(0.20),(0.02)
36,Seed maturity,61.59,75.39 (7.22),49.48(1.27,36.6(3.14,57.66 (2.32) 56.71 (4.25) 55.27 (1.97) 49.9 (1.23),57.66 (2.32) 56.71 (4.25) 55.27 (1.97) 49.9 (1.23),57.66 (2.32) 56.71 (4.25) 55.27 (1.97) 49.9 (1.23),57.66 (2.32) 56.71 (4.25) 55.27 (1.97) 49.9 (1.23),59.03 (2.20)64.29 (3.29),59.03 (2.20)64.29 (3.29),39.44 (1.1655.07 (1.27),39.44 (1.1655.07 (1.27),80.44 (3.09),57.94,59.71,62.89
37,,(0.95),,,,,,,,,,,,,(5.41,(0.73),(0.96)
38,Total phenolic,21.75,18.73(0.74,19.110.10)16.811.4219.640.4511.51(1.4421.190.64,,,,,18.670.35,15.36 (0.4315.93 (1.0713.65 (0.4715.28 (2.32,15.36 (0.4315.93 (1.0713.65 (0.4715.28 (2.32,15.36 (0.4315.93 (1.0713.65 (0.4715.28 (2.32,15.36 (0.4315.93 (1.0713.65 (0.4715.28 (2.32,12.46(2.08,21.99,15.65,12.36
39,index,1.10,,,,,,,,,,,,,(2.23),1.39,0.13
