,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Food,Weight of,,Sodium,,,Potassium,,Merlian Meanr(n,,Phosphorus,,Marian Meanted(n
1,Eervingb,serying (g),Median Meansd(n,Median Meansd(n,Median Meansd(n,Median Meansd(n,Median Meansd(n,Merlian Meanr(n,Merlian Meanr(n,Median Keaned(n),Median Keaned(n),Marian Meanted(n,Marian Meanted(n
2,IT,15,7,8,328,20,19428,15,14327,12,12227,1.4,1.40.328
3,substitute-1,6,,8,128,54,54828),0,0027),22,22327,0.2,0.20.128
4,"Broun gravy,from mix",,82,84,17(28,7,7228,3,3127,3,3127,0.6,0.60.128
5,1T,16,82,84,17(28,7,7228,3,3127,3,3127,0.6,0.60.128
6,homemade -1 T,16,45,45,1728,20,21328,15,16327,13,13227,1.8,1.80.228
7,Tap water,,,,,,,,,,,,
8,8 fl oz,240,6,7,6(28,0,1128,6,7427,0,0027,2.0,2.31.528
9,"Lemonade,frczen",,,,,,,,,,,,
10,8f1oz,248,,,,,481728,,5227,,,,
11,8f1oz,248,2,2,1(28,47,481728,5,5227,4,4127,3.2,1.1(28
12,802,248,9,17,2028,93,842728,12,13627,4,4127,4.5,4.82.228
13,powder -8 fl oz,262,10,15,15(28,1,1128,1,101427,,112127,0.0,0.41.428
14,Carbonated lemon-Lime,368,,,,,131928,,12527,,1127,,2.21.328
15,soda 12 fl oz,368,42,43,18(28,1,131928,11,12527,1,1127,2.2,2.21.328
16,12 foz,370,10,12,9(28,4,5428,11,11427,51,501227,2.2,2.41.328
17,12foz,355,53,52,16(20),6,6528,13,7(27),45,451227,1.8,1.328
18,Bfoz,240,2,2,2(28,991186928,991186928,4,53(27,8,9627,8.6,10.86.528
19,"Decaffeinated coffec,",,,2,2(28,,,,53(27,,9627,,10.86.528
20,from instant,,2,,,,,,,,10527,,10.311.96.1(28
21,8fo2,240,2,3,2(28,1011125228,1011125228,5,5327,9,10527,10.311.96.1(28,10.311.96.1(28
22,bag -fl oz,240,0,,1(28,37,3B1628,0,1(27,2,3127,1.9,2.11.028
23,Table ine,356,13,15,7(28),89,871828,17,175(27,43,441127,21.521.15.628,21.521.15.628
24,4floz,116,7,11,9(28),85,832628,10,10227,17,16327,11.310.92.028,11.310.92.028
25,11/2f,42,0,0,(28,0,0028,0,0027,0,0027,0.0,0.00.028
26,Strained/junior vegetables,Strained/junior vegetables,,,,,,,,,,,
27,1jar,213,70,763028,763028,4224148328,4224148328,2h3 2425727),2h3 2425727),12812517(27,12812517(27,80.9 83.023.228,80.9 83.023.228
28,Peas,206,,10,3(28),,,44,,,,,
29,1jar,206,10,10,3(28),2032054228,2032054228,44,42627,109,1081827,37.736.95.328,37.736.95.328
30,Carrots,206,2,3,3(28,323322+6428,323322+6428,82,82727,55,549(27,40.540.28.828,40.540.28.828
31,1jar,213,67,81,5328,421 44010928,421 44010928,55,546(27,49,49727,21.621.53.128,21.621.53.128
32,Sueetpotato/yellou,,,,,,,,37727,,57727),,32.6 32.34.028
33,squash -1jar,220,24,352728,352728,533535+328,533535+328,34,37727,57,57727),32.6 32.34.028,32.6 32.34.028
34,1jar,213,21,22,7(28,2072073228,2072073228,43,40627,88,851127,23.623.44.128,23.623.44.128
35,vegetables jar,23,29,30,14(28,2582524328,2582524328,35,37927,59,59927,23.7 23.55.728,23.7 23.55.728
36,Strained/junior fruits and fruit juices,Strained/junior fruits and fruit juices,,,,,,,,,,,
