,0,1,2,3,4,5,6,7,8,9,10,11
0,Food Item,Thiamine,Riboflavin,Nicotinic,Vitamin Be,Vitamin B2,Folic,Calcium-,Vitamin C,Vitamin D,Vitamin E,Vitamin K
1,,,,acida,pyridoxines,cyanoco,acid,d-panto,,,,
2,,,,,,balamin,,thenate,,,,
3,Marshallese dried,0.55,0.04,1.49,1.13,0.0073,0.008,0.46,10.8,b,0.31,0.0039
4," pandanus paste,",,,,,,,,,,,
5,present studyc,,,,,,,,,,,
6,Marshallese dried,0.04,0.06,2.5,na,na,na,na,1.5,na,na,na
7,"pandanus paste,",,,,,,,,,,,
8,past studyd,,,,,,,,,,,
9,"Garlic pear,",0.03,0.04,0.5,na,na,na,na,45.3,na,na,na
10,"apuch, freshd",,,,,,,,,,,
11,Common,"0.04,0.07","0.06, 0.08",0.7,0.29,0,0.014,0.36,"11,17.3",0,"0.27, 0.4",na
12,"banana, freshe.t",,,,,,,,,,,
