,0,1,2
0,Cultivar,Harvest years and number of samples,Geographic origin
1,Bogazkere (Red),2006(1-20072-2008(3-20092,"Diyarbakir,Cappadocia,Tokat"
2,Cabernet Sauvignon (Red),2006(2)-2007 (5)-2008(1),"Izmir, Cappadocia, Thrace, Tokat"
3,Kalecik Karasi (Red),2006 (5)-2007 (6)-2008 (3),"Ankara Denizli,Izmir, Thrace"
4,Merlot (Red),2006 (2)-2007 (4)-2008 (1)-2009 (2),"Denizliizmir,Thrace"
5,Okuzgozu (Red),2006(3-2007(3-2008 (2-2009 (3),"Elazig,CappadociaTokat"
6,Syrah (Red),2006 (3)-2007 (5)-2008 (3)-2009 (2),"Denizli, Manisa"
7,Emir (White),2007(3)-2008 (3)-2009(3),Cappadocia
8,Chardonnay (White,2006 (2)-2007 (3)-2008 (2)-2009 (3),"Denizli, izmir, Thrace, Cappadocia"
9,Muscat (White),2006 (2)-2007 (2)-2008 (3)-2009 (2),"Denizli,izmir,Manisa"
