,0,1
0,"of flavones, flavanones and their glycosides in routine analysis via off-line","Planta 233, 37-48."
1,"combination of sensitive NMR and HPLC experiments.Food Chem.218,600-609","Kreitler,C.W.,1979.Nitrogen-isotope ratio studies of soils and groundwater nitrate from"
2,"Borras,E.,Ferre,J.,Boque,R.,Mestres,M.,Acena,L.,Busto,O.,2015.Data fusion","alluvial fan aquifers in Texas.J.Hydrol.42,147-170."
3,methodologies for food and beverage authentication and quality assessment -A,"Lerdau,M., Litvak,M., Monson,R.,1994.Plant chemical defense: monoterpenes and th"
4,"review.Anal.Chim.Acta 891,1-14.","growth-differentiation balance hypothesis.Trends Ecol.Evol. 9,52-57."
5,"Camin, F., Perini, M., Bontempo, L.,Fabroni, S.,Faedi, W., Magnani, S., Baruzzi, G.","Luthria, D., Singh, A.P., Wilson, T., Vorsa, N., Banuelos, G.S., Vinyard, B.T., 2010."
6,"Bonoli, M., Tabilio, M.R., Musmeci, S., Rossmann, A., Kelly, S.D., Rapisarda, P.",Influence of conventional and organic agricultural practices on the phenolic conten
7,2011.Potential isotopic and chemical markers for characterising organic fruits.Food,"in eggplant pulp:Plant-to-plant variation.Food Chem.121,406-411."
8,"Chem 125,1072-1082.","Lydon, J.,Duke,S.O.,1989.Pesticide effects on secondary metabolism of higher plants"
9,"Capuano, E., Boerrigter-Eenling,R., van der Veer, G., van Ruth, S.M.,2013. Analytical","Pestic.Sci.25,361-373."
10,authentication of organic products: an overview of markers.J. Sci. Food Agric 93,"Martinez Bueno, M.J., Diaz-Galiano, F.J., Rajski, L., Cutillas, V., Fernandez-Alba A.R."
11,12-28.,2018. A non-targeted metabolomic approach to identify food markers to support
12,"Caris-Veyrat,C.,Amiot,M.J.,Tyssandier,V.,Grasselly,D., Buret,M.,Mikolajczak,M.",discrimination between organic and conventional tomato crops. J.Chromatogr.A
13,"Guilland, J.C., Bouteloup-Demange, C.,Borel, P.,2004.Influence of organic versus","1546,66-76."
