,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Fresh,Ripening (months),Ripening (months),Ripening (months),,,,,,,,,,,,,,,,,,,
1,,piece,,,,,,,,,,,,,,,,,,,,,,
2,,,11,,,,3,,,,6,,,,,,,,,,,,,
3,Salting (days),,,,,,,,1,,2,,1,,,,4,,,,,,,
4,Temperature (C),,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,Significance,Significance,Significance,,,
5,Indexes,,,,,,,,,,,,,,,,,,SEM,R,T,S,RxT,RxS
6,Acidity indexa,0.84,1.25,1.33,1.12,1.26,1.68,2.24,1.68,2.23,2.09,3.79,2.38,3.64,3.64,5.09,3.57,4.98,0.22,***,***,n.,***,n.s.
7,Acidity degreeb,0.42,0.63,0.67,0.56,0.63,0.84,1.12,0.84,1.12,1.05,1.90,1.20,1.83,1.83,2.56,1.79,2.51,0.11,***,***,n.,***,n.s.
8,Peroxide valuec,0.48,1.65,1.96,3.14,3.23,6.56,10.9,201,18.3,13.1,23.9,196,197,202,47.1,195,57.4,2.67,**,***,:..,***,*
9,Saponification,189,189,191,195,190,193,195,201,197,196,199,196,197,202,197,195,198,0.54,**,n.,n.,n.s.,*
10,valued,,,,,,,,201,,,,196,197,,,195,,,,s.,s.,,
11,lodine valuee,57.6,59.1,61.3,60.6,58.4,58.8,59.7,62.7,61.2,66.0,61.4,65.1,61.9,62.6,61.5,61.5,61.7,0.38,n.,n.,n.,n.s.,n.s.
12,,,,,,,,,,,,,,,,,,,,s.,s.,s.,,
13,Refractive index,1.46,1.46,1.46,1.46,1.46,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.00,n.,n.,n.,n.s.,n.s.
14,TBA valuef,,,,,,,,,,,,,,,,,,,s.,s.,s.,,
15,TBA valuef,0.18,0.29,0.31,0.38,0.50,0.49,0.67,0.57,0.81,0.58,0.77,0.85,0.89,0.84,1.09,0.93,1.16,0.03,***,***,***,n.s.,n.s.
