,0,1,2,3,4,5,6,7,8
0,"Quantification of phenolic acids (mg/100 g RSDb,n=3a","Quantification of phenolic acids (mg/100 g RSDb,n=3a","Quantification of phenolic acids (mg/100 g RSDb,n=3a",,,,,,
1,Wheat Varieties,Phenolic acids,Particle size (mm),,,,,,
2,,,<1.18->0.43,<0.43->0.30,<0.30->0.15,<0.30->0.15,<0.15->0.08,<0.08,TPAC
3,Imdad,Gallic acid,NDe,5.82  0.63,4.38  0.39,4.38  0.39,ND,ND,10.2  1.02
4,,Sinapc acid,4.03  0.98,11.1  0.35,2.04  0.21,2.04  0.21,1.85  0.60,0.75  0.05,19.8  2.19
5,,Vanillic acid,0.45  0.08,2.18  0.78,0.76  0.04,0.76  0.04,0.73  0.09,0.24  0.03,4.35  1.02
6,,Caffeic acid,0.39  0.01,0.57  0.69,0.23  0.08,0.23  0.08,0.17  0.07,0.11  0.04,1.47  0.89
7,,Syringic acid,0.57  0.73,0.68  0.89,0.61  0.32,0.61  0.32,0.30  0.06,0.12  0.02,2.28  2.02
8,,p-coumaric acid,1.33  0.86,1.980.35,0.50  0.79,0.50  0.79,0.38  0.33,0.38  0.08,4.56  2.41
9,,Ferulic acid,54.49  0.5,139.7  0.9,20.15  0.2,20.15  0.2,13.65  0.5,12.49  0.7,240.6  2.8
10,,TPAd,61.26  3.2,162.12  4.6,28.68  2.0,28.68  2.0,17.08  1.6,14.08  0.9,283.2  12.3
11,Benazir,Gallic acid,1.00  0.52,1.21  0.39,0.81  0.19,0.81  0.19,0.84  0.84,0.77  0.59,4.67  0.63
12,,Sinapc acid,0.85  0.07,3.12  0.53,0.75,0.19,0.56  0.69,0.46  0.14,5.74  1.62
13,,Vanillic acid,3.14  0.59,4.14  0.26,1.13 ,0.38,0.69  0.89,0.41  0.11,9.52  2.23
14,,Caffeic acid,1.03  0.69,4.82  0.22,0.58  0.09,0.58  0.09,0.52  0.03,0.27  0.06,7.22  1.09
15,,Syringic acid,1.38  0.16,4.41  0.29,0.81 0.07,0.81 0.07,0.61  0.01,0.22  0.49,7.43  1.02
16,,p-coumaric acid,2.39  0.58,7.86  0.70,0.94  0.13,0.94  0.13,0.68  0.39,0.34  0.15,12.2  1.95
17,,Ferulic acid,95.23  0.8,528.60.4,61.69  0.1,61.69  0.1,33.97  0.2,15.640.8,735.1  2.29
18,,TPAd,105.0  3.4,554.16  2.8,66.71  1.2,66.71  1.2,37.88  3.0,18.11  2.4,781.9  12.7
19,TJ-83,Gallic acid,ND,ND,1.97  0.92,1.97  0.92,1.11  0.37,ND,3.08  1.29
20,,Sinapc acid,1.99  0.73,2.55  0.11,1.79  0.89,1.79  0.89,0.73  0.59,0.33  0.23,7.39  2.55
21,,Vanillic acid,1.33  0.89,1.62  0.21,1.21  0.78,1.21  0.78,0.56 0.07,0.100.01,4.82  1.96
22,,Caffeic acid,1.69  0.79,3.66  0.33,1.32  0.19,1.32  0.19,0.68  0.13,0.39  0.05,7.74  1.49
23,,Syringic acid,1.53 0.51,2.12  0.16,1.43  0.69,1.43  0.69,0.36  0.38,0.13  0.63,5.58  2.37
24,,p-coumaric acid,0.63  0.93,0.88  0.07,0.35  0.02,0.35  0.02,0.32  0.06,0.15 0.01,2.33  1.09
25,,Ferulic acid,168.6  0.3,320.5  0.5,84.46  0.4,84.46  0.4,27.73  0.8,15.14  0.2,616.5  2.16
26,,TPAd,175.8  4.1,331.4  1.2,92.53  3.9,92.53  3.9,31.49  2.4,16.25  1.1,647.4  12.8
