,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,RXY,,,,,,,,,,,,,,,,
1,,,,2222.2.,,,,,,,,,,,22...111,22...111,,22...111,22...111
2,,,,1112222.22222.21.1,,,,,,,,,,,,,,,
3,,,SEM,,,,,,,,,0001,0001,0002,,00000,1000,100.0,1111
4,,1.1c,,,,,,,,,,024,,,000,0101,,,69
5,,,,,,,,,,,,,800,01.2,800'0,0100,004.2,1100,7.04
6,,,,,,,,,,,,0,,,,,,,7.04
7,,1.1e,,,,,,,,,,8,8,8,,,004,,
8,,D.6,,,,,,,,,,2,,,800'0,0000,,,
9,,,,,,,,,,,,,,,,,,,
10,,1.1C,,,,,,,,3,3,,,,,,,,
11,,,,,,,,,003,,,,,114,000,00,,,
12,,1.1C,,,,,,,,,,0110,80,11,0101,1100,,0102,
13,,D.6,,,,,,,003,,,,800,112,3000,100,,0500,
14,,,,,,,,,,,,00,,012,00'0,10'0,000,900,
15,,D.6,,,,,,,,,,,,,,0100,,,7.04
16,,1.1e,,,,,,,,,,,,,,,,,
17,,D.6,,,,,,,,,,,,,,000,,,
18,,,,,,,,,,,,,,,,,,,
19,,1.11,,,,,,,,,,,,,6000,,,600,
20,,D.6,,,,,,,,,,,,,,0000,,,
21,,,,,,,,,,,110,110,,114,900'0,,,0500,89
22,,D.t,,,,,,,,,,,,,800'0,1100,,,200
23,,,,,,,,,,,,,,,,,,900,
24,,,,,,,,,,,,222,222,222,,,,,
25,Sit,,,,C:110,0:110,C:111,C110,,CIA,CIA,,,,,,,,
