,0,1,2
0,Common name,Scientific name,Edible portiona (%
1,Starchy roots and Tubers,,
2,Cassava,Manihot esculenta Crantz,75.8
3,Jerusalem artichoke,Helianthus tuberosus L.,79.0
4,Noh kala shoot,Alpinia nigra B.L. Burtt,73.1
5,Potato,Solanum tuberosum L.,89.1
6,Sweet potato,Ipomoea batatas (L.) Lam,92.9
7,"Sweet potato,red",Ipomoea batatas(L.Lam,80.5
8,"Sweet potato, white",Ipomoea batatas (L.)Lam,80.5
9,"Sweet potato,yellow",Ipomoea batatas(L.Lam,90.1
10,"Taro, hom variety",Colocasia esculenta (L.) Schott,85.5
11,"Taro, small",Colocasia esculenta (L.) Schott,71.5
12,Yam bean,Pachyrhizus erosus (L.) Urb.,90.4
13,Yamdried,Dioscorea hispida Dennst.,100
14,Vegetables,,
15,Asparagus,Asparagus officinalis L.,66.2
16,Bitter bean/Sataw,Parkia speciosa Hassk.,31.9
17,Bitter melon,Momordica charantia L.,85.9
18,Carrot,Daucus carota L.,86.7
19,Chinese chive,Allium tuberosum Roxb,85.8
20,Common Asiatic weed,Solanum tervum Swartz,89.2
21,Eggplant/Brinjal,Solanum melongena Linn,92.3
22,Garden peas,Pisum satavim L.,92.7
23,Horse-tamarind/White Popinac/Lead Tree,Leucaena leucocephala (Lamk.) de Wit,41.2
24,Lady's finger/Okra,Abelmoschus esculentus(L.) Moench,88.4
25,Leek,Allium porrum Linn.,29.6
26,Pumpkin,Cucurbita moschata Decne,87.3
27,Radish,Raphanus sativus L.,78.8
28,Fruits,,
29,"Banana, common, ripe",Musa sapientum L.,74.8
30,"Banana, common,unripe",Musa sapientum L.,72.0
31,"Banana,dessert,Valery variety",Musa sapientum L.,66.8
32,"Banana,rice",Musa suerier L.,74.4
33,"Banana,silver Bluggoe",Musa sapientum L.,62.7
34,"Dragon fruits,red",Hylocereus undatus (Haw.) Britton & Rose,73.5
35,"Dragon fruits,white",Hylocereus undatus (Haw.Britton & Rose,68.2
36,Spices,,
37,Chinese deys,Boesenbergia pundurata (Roxb.) Schitr,62.6
38,"Garlic,common",Allium sativum L.,85.2
39,"Garlic, Chinese",Allium chinense G. Don,89.4
40,"Garlic,great headed/Garlic,elephant",Allium ampeloplasum Linn.,87.5
41,Galangal,Languas galanga Sw.,81.0
42,Ginger,Zingiber officinale Roscoe,81.7
43,Onion,Allium cepa L.,95.6
44,"Onion, red",Allium atrorubens S. Wats.,90.0
45,Shallot,Allium ascalonicum L.,87.0
46,Turmeric,Curcuma longa L.,66.2
47,"Turmeric, white",Curcuma mangga val amp zijp,100
48,Seeds and nuts,,
49,Hairy basil seed (Psyllium seed husks),Ocimum americanum Linn.,100
50,"Jackfruit seed, boiled",Artocarpus heterophyllus Lam.,96.3
51,"Jobs tear, seed","Coix lachryma-jobi, L.",100
52,Sunflower seed,Helianthus annuus Linn.,100
