,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Basil species and,Phenolic Acids,,,,,,,,,,,,,Anthocyanins,Determination,Reference
1,cultivar,Rosmarinic,Chicoric,Caftaric,Caffeic,Ferulic,p-,Caffeoyltartaric,Quercetin,Gentisic,Salvianic,Salvianolic,Salvianolic,Fertaric,,method,
2,,acid,acid,acid,acid,acid,acid,acid,rutinoside,acid,acid A,acid K,acid L,acid,,,
3,,,,,,,acid,,acid,,,,,,,,
4,,mg g- dry weight,mg g- dry weight,,,,,,,,,,,,mg g-1 dry,,
5,,mg g fresh weight),mg g fresh weight),,,,,,,,,,,,weight,,
6,,[mol gfresh weight],[mol gfresh weight],,,,,,,,,,,,,,
7,O. basilicum L.,0.04,0.05,,0.04,0.005,,,,,,,,,,,Ciriello et al.
8,'Genovese',0.11,0.06,,0.05,0.005,,,,,,,,,,HPLC,(2021a)
9,,0.14,0.7,,0.05,0.003,,,,,,,,,,,
10,,0.42,0.3,,0.09,0.017,0.007,,,,,,,,,,Ciriello et al.
11,,0.37,0.3,,0.11,0.017,0.007,,,,,,,,,HPLC,2021b)
12,,0.64,0.33,,0.09,0.016,0.006,,,,,,,,,,
13,,0.56,,,0.33,,3.71,,,,,,,,,LC-MS Q-TOF,Comite et al.
14,,,,,0.08,,,,,,,,,,,,(2021
15,,0.80,0.02,0.02,0.08,,0.026,0.024,0.6,,,,,,,LC-MS/MS,Corrado et al.
16,,,,,,,,,,,,,,,,,2021
17,,,,,,,,,,,,,,,0.08,SPM,Jakovljevic et al.
18,,,,,,,,,,,,,,,,,2021
19,,1.50,3.69,,0.55,,,,,,,,,,,HPLC-DAD,dos S Nascimento
20,,,,,,,,,,,,,,,,,et al.2020
21,,25.5,,,,,,,,,,,,,,HPLC,Puccinelli et al.
22,,,,,,,,,,,,,,,,,2020
23,,8.81,,,0.215,,,,,,,,,,,LC-DAD-MS/,Jakovljevic et al.
24,,,,,,,,,,,,,,,,MS,(2019)
25,,0.12,0.05,0.12,0.16,0.33,0.07,0.12,0.59,,,,,,,LC-MS/MS,Saia et al.2021)
26,,16.73,9.76,4.97,0.124,,,,,,,,,,,HPLC,Stagnari et al.
27,,,,,,,,,,,,,,,,,(2018)
28,,1.00,0.261,,,,,,,,,,,0.04,,HPLC,Taulavuori et al.
29,,,,,,,,,,,,,,,,,(2018
30,,1.71,2.15,0.21,0.77,,,,,,,,,,0.52,HPLC,Kwee& Niemeyer
31,,,,,,,,,,,,,,,,,2011
32,,7.93,1.09,,,,,,,,,,,,0.33,HPLC,Nguyen et al.
33,,,,,,,,,,,,,,,,,(2010
34,,0.048,,,0.15,0.06,,,,,,,,,,RP-HPLC,Sgherri et al.
35,,,,,,,,,,,,,,,,,(2010
36,,1.17,(0.248),(0.033),,,,,,,,,,,,HPLC-DAD-ESI-,Lee&Scagel
37,,,,,,,,,,,,,,,,MS/MS,2009
38,,[14.85],[1.19],[0.35],,,,,,,,[0.23],[1.46],[0.12],,HPLC-DAD-ESI-,Prinsi et al.
39,,,,,,,,,,,,,,,,MS/MS,2019
40,,0.0047,0.0040,0.038,0.028,0.0020,,,,,,,,,,HPLC,Bajomo et al.
41,,0.0054,0.0048,0.030,0.028,0.0040,,,,,,,,,,,2022)
42,,0.0045,0.0033,0.021,0.028,0.0016,,,,,,,,,,,
43,,0.0070,0.0027,0.028,0.034,0.0026,,,,,,,,,,,
44,,0.015,0.033,,0.016,0.003,,,,,,,,,,HPLC,Ciriello et al.
45,,0.152,0.050,,0.023,0.012,,,,,,,,,,,2020
46,,0.326,0.205,,0.021,0.006,,,,,,,,,,,
