,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,Health risk index,Health risk index,,,,,,
1,ID,Specie/Location,Cr,As,Cd,Pb,,Hg,Cu,Zn,Se,Cr,As,Cd,Pb,Hg,Cu,Zn,Se
2,#1,L. deliciosus / Dchar Akjiouene,3.30,-,0.05,0.08,,,1.69,26.5,0.40,1.10,,0.05,0.02,,0.04,0.09,0.81
3,#2,L. deliciosus / Alimadene,0.89,0.16,0.27,0.25,,0.08,2.76,53.7,0.40,0.30,0.53,0.27,0.07,0.27,0.07,0.18,0.79
4,#3,L. delicious / Pinar de la Dehesa de las Yeguas,1.45,0.15,0.22,0.08,,,4.05,43.4,0.36,0.48,0.50,0.22,0.02,,0.10,0.14,0.72
5,#4,L. delicious / Pinar del Rey,1.77,,0.08,0.06,,0.10,3.48,43.6,0.48,0.59,,0.08,0.02,0.33,0.09,0.15,0.96
6,#5,L. delicious / Sendero El Palancar,0.40,0.51,0.14,0.03,,0.10,5.58,56.6,0.68,0.13,1.68,0.14,0.01,0.34,0.14,0.19,0.92
7,#6, L. delicious / Jimena de la Frontera,1.35,,0.14,0.06,,,3.90,38.8,0.46,0.45,,0.14,0.02,,0.10,0.13,0.92
8,#7,L. delicious / Cortes de la Frontera,0.92,0.19,0.10,0.08,,0.10,4.17,51.9,0.51,0.31,0.62,0.10,0.02,0.35,0.10,0.17,1.03
9,#8,L. delicious / Fuente del Espino,3.98,0.57,0.14,0.29,,0.19,3.08,47.7,0.44,1.33,1.90,0.14,0.08,0.62,0.08,0.16,0.89
10,#9,L.delicious/Puerto Real,0.71,0.16,0.43,0.16,,0.10,4.60,63.2,0.29,0.24,0.53,0.43,0.05,0.33,0.11,0.21,0.59
11,#10,L.vinosus/Pinar El Colorado,2.64,0.21,0.17,0.13,,,2.17,20.9,0.86,0.88,0.68,0.17,0.04,,0.05,0.07,1.72
12,#11,L. vinosus / Sendero El Palancar,0.50,,0.06,0.05,,,2.72,24.8,0.54,0.17,,0.06,0.01,,0.07,0.08,1.09
13,#12,L. vinosus / Puerto Real,0.49,0.37,0.20,0.05,,0.10,3.85,47.7,0.59,0.16,1.22,0.20,0.01,0.34,0.10,0.16,1.18
14,#13,L. vinosus /Pinar de la Dehesa de las Yeguas,1.04,0.24,0.12,0.08,,,3.48,33.6,0.45,0.35,0.81,0.12,0.02,,0.09,0.11,0.89
15,#14,L. semisanguifluus / Puerto de la Mora,3.14,2.41,0.53,0.30,,0.18,2.64,25.0,0.86,1.05,8.03,0.53,0.09,0.60,0.07,0.08,1.72
16,#15,L.semisanguifluus / Sierra de Huetor,2.52,1.53,0.34,0.39,,0.16,2.48,23.5,0.86,0.84,5.11,0.34,0.11,0.54,0.06,0.08,1.72
17,#16,L. rugatus / Cortes de la Frontera,1.29,,0.88,0.05,,0.08,18.7,37.1,0.20,0.43,,0.88,0.01,0.28,0.47,0.12,0.39
18,#17,L. sanguifluus / Sierra de Huetor,2.36,0.39,0.54,0.56,,0.18,2.91,27.5,0.99,0.79,1.31,0.54,0.16,0.59,0.07,0.09,1.98
19,#18,L. sanguifluus / Cortes de la Frontera,0.41,,0.08,0.15,,,1.66,42.45,0.32,0.14,,0.08,0.04,,0.04,0.14,0.63
20,RD (g/kg body weight/day) a,RD (g/kg body weight/day) a,3d,0.3d,1d,3.5e,,0.3d,40e,300d,0.5d,,,,,,,,
21,PTDI(g/kg body weight/day,PTDI(g/kg body weight/day,-,2.14f,0.82f,,/,0.57f,-,,,,,,,,,,
22,,PTMDI (g/kg body weight/day) c,,,,-,-,,5000f,300-1000f,,,,,,,,,
