,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Type,Species,Organ,Statistics,As,Cd,Co,Cr,Cu,Fe,Hg,Mn,Ni,Pb,Se,Zn
1,Crustacean,P.armatus,Muscle,Mean,16.62.9,0.110.05,0.037 ,0.021,9.35  2.02,5.23 1.51,0.080 ,0.32 ,0.100.01,0.02  0.01,0.50,23.62.1
2,,,,SD,,,0.008,0.004,,,0.015,0.07,,,0.05,
3,,"n=34a,4b",,Min,13.7,0.06,0.03,0.015,11.03,7.0,0.066,0.26,0.09,0.01,0.45,26.6
4,,,,Max,19.9,0.17,0.05,0.025,11.03,7.0,0.095,0.41,0.11,0.03,0.67 ,26.6
5,,T.orientalis,Muscle,Mean ,25.111.9,1.27  0.9,0.03  0.01,0.03,4.51  2.65,2.29  1.0,0.044,1.230.39,0.120.05,0.02 ,0.67 ,21.19.6
6,,,,SD,,,,0.01,,,0.015,,,0.003,0.20,
7,,"n=16,5",,Min,16.0,0.54,0.02,0.02,0.63,4.01,0.022,0.88,0.07,0.016,0.50,10.6
8,,,Muscle,Max,42.7,2.87,0.005 ,0.04,7.28,4.01,0.064,1.82,0.18,0.024,0.99,4.06  0.40
9,Fish,E.orientalis,Muscle,Mean ,12.75.4,0.002,0.005,0.06 ,0.25  0.08,2.94  0.2,0.014,0.12 ,0.003,0.015 ,0.54 ,4.06  0.40
10,,,,SD,,0.002,0.005,0.05,,,0.014,0.05,0.003,0.002,0.09,
11,,"n=30,5",,Min,7.5,0.001,0.002,0.03,0.18,2.72,0.049,0.06,0.028,0.014,0.43,3.61
12,,,,Max,20.4,0.005,0.012,0.14,0.37,3.18,0.083,0.20,0.034,0.018,0.67,4.61
13,,E. orientalis,Liver,Mean ,20.910.2,1.140.4,0.15 0.04,0.02 ,93.727.6,334.288.9,0.146 ,1.030.14,0.06  0.01,0.026 ,4.23 ,42.06.1
14,,,,SD,,,,0.1,,,0.034,,,0.002,1.67,
15,,"n=30,5",,Min,5.3,0.5,0.10,0.01,55.3,228.0,0.115,0.90,0.04,0.023,2.59,33.8
16,,,,Max,32.6,1.58,0.21,0.03,130.3,474.2,0.199,1.23,0.07,0.029,6.41,50.0
17,,S. longiceps,Muscle,Mean ,1.10.1,0.06 0.02,0.023 ,0.02 ,0.60  0.09,12.8  2.4,0.025 ,0.62 ,0.06 0.01,0.080.04,0.21,5.89  1.51
18,,,,SD,,,0.002,0.01,,,0.026,0.16,,,0.04,
19,,"n=32,5",,Min,1.0,0.04,0.021,0.02,0.46,10.4,0.012,0.43,0.04,0.05,0.16,4.26
20,,,,Max,1.3,0.1,0.026,0.03,0.70,15.4,0.072,0.86,0.08,0.15,0.27,8.36
21,,S. longiceps,Liver,Mean ,1.80.1,0.860.1,0.29  0.16,1.33 ,2.60  1.01,565.0373.1,0.014,8.216.10,1.701.19,0.390.17,0.39,11.2  3.4
22,,,,SD,,,,0.94,,,0.003,,,,0.39,
23,,"n=32,5",,Min,1.7,0.74,0.10,0.22,1.36,139.7,0.010,1.69,0.38,0.14,0.53,6.90
24,,,,Max,2.0,1.02,0.53,2.60,3.80,1097,0.018,17.5,3.39,0.59,1.59,15.5
