,0,1,2,3,4,5,6,7,8,9,10,11
0,Peak,Pigment,tr,K'e,Position of peak (nm),Position of peak (nm),,,,,,Peak ratio
1,,,,,,,,,,,,Soret/VI
2,,,,,Soret,1,1I,III,IV,v,VI,
3,0,Not retained,1.66,,,,,,,,,
4,1,151-OH-lactone chlorophyllide a,5.55,2.34,420,,,(524,(570),606,656,1.77
5,2,Chlorophyllide a,6.32,2.80,432,,(384),412,(580),616,664,1.30
6,3,132-OH Chlorophyllide a,6.56,2.94,432,,(384),412,(580),616,664,1.30
7,2',Chlorophyllide a',7.59,3.56,432,,(384),(412,(580),616,664,1.30
8,4,132 OH pheophorbide a,9.86,4.93,410,,(479),506,534,608,666,2.48
9,5,Pheophorbide a,10.10,5.07,410,,(479),506,534,608,666,2.48
10,,Pheophorbide a',11.32,5.80,410,,(479),506,534,608,666,2.48
11,6,Chlorophyllide a derivative,13.51-15.48,7.12-8.30,432,,(384),(412),(570),616,664,1.30
12,7,132-OH-chlorophyll b,14.12,7.51,462,350,,,(570),600,650,2.94
13,8,151-OH-lactone chlorophyll b,14.72,7.87,454,,,,586,,634,4.42
14,9,Chlorophyll b,17.16,9.31,466,350,,,(570),600,650,2.80
15,10,151-OH-lactone chlorophyll a,21.04,11.64,420,420,,(524),(570),606,656,1.77
16,11,132-OH-chlorophyll a,21.41,11.87,432,(394),(420),(534),(590),616,666,1.20
17,12,Chlorophyll a,23.27,12.98,432,(394),(420),(534),(590),616,666,1.27
18,12',Chlorophyll a,24.45,13.69,432,(394),(420),(534),(590),616,666,1.14
19,13,Oxidised chlorophyll,25.37,14.25,436,,,,,,668,1.50
20,14,15-OH-lactone pheophytin a,28.23,15.97,399,,,499,531,614,670,2.57
21,15,132 OH pheophytin a,28.82,16.32,410,,(470),506,534,608,666,2.48
22,16,Pheophytin a,31.28,17.80,410,,(470),506,534,608,666,2.48
23,16',Pheophytin a',32.22,18.36,410,,(470),506,534,608,666,2.48
