,0,1,2,3,4,5,6,7,8,9,10,11
0,,,Fea (mg kg-1,,Mna(mgkg-1,,Ni(g kg1),,Pb(gkg-1),,Zna(mgkg-1,
1,Fish species,n,Mean SD,Range,Mean  SD,Range,Mean  SD,Range,Mean  SD,Range,Mean  SD,Range
2,Hake (Merluccius merluccius),7,2.01.0,0.68-3.7,0.0950.017,0.076-0.12,116.0,6.0-21,2.0 1.1,1.5-3.9,3.51.1,2.2-5.0
3,Atlantic mackerel (Scomber scombrus),7,5.63.0,2.0-11,0.096  0.026,0.071-0.14,5.5  2.0,1.5-7.1,2.6  2.0,1.56.3,4.01.1,3.0-5.5
4,Cod (Gadus morhua),7,4.72.0,2.6-6.6,0.280.064,0.21-0.34,22  5.6,16-29,3.12.1,1.5-5.9,3.4 0.3,3.1-3.8
5,Chub mackerel (Scomber japonicus),7,4.6  3.0,2.212,0.15 0.040,0.990.19,6.5  5.5,1.5-17,2.8  2.3,1.5-7.5,5.7 1.5,4.5-9.0
6,Sardine (Sardina pilchardus),7,10  0.77,8.911,0.570.092,0.47-0.69,7.7  4.1,4.9-14,13  2.0,10-15,10  0.94,9.412
7,Canned sardine (Sardina pilchardus),7,19 5.2,10-23,1.6  0.64,0.88-2.4,5120,30-72,5912,51-79,18  9.4,2.927
8,European sea bass (Dicentrarchus,13,3.71.5,1.9-7.3,0.810.82,0.12-2.6,1214,1.5-51,2.4  1.7,1.5-7.4,5.41.4,4.2-8.6
9,labrax),,,,,,,,,,,
10,Gilthead sea bream (Sparus aurata),11,3.92.0,1.97.2,0.260.23,0.082-0.78,13  8.6,3.9-30,3.75.4,1.5-18,4.90.63,4.3-6.1
11,Bluefin tuna (Thunnus thynnus),8,16  6.4,9.3-30,0.80 0.81,0.12-2.1,20  19,1.5-60,2.9  2.2,1.57.7,6.5  1.9,4.9-10
12,Salmon-bass (Argyrosomus regius),,2.50.45,2.0-3.0,0.170.074,0.083-0.26,5.83.2,1.5-8.9,<LOD,,5.40.91,4.6-6.7
13,Rainbow trout (Oncorhynchus mykiss),7,4.4  1.3,3.0-5.9,0.12 0.010,0.11-0.13,<LOD,,19  4.6,14-24,4.4 0.59,3.75.1
14,Carp (Cyprinus carpio),7,7.4  3.5,2.6-11,0.45 0.21,0.210.71,8.3  2.6,4.9-11,3.3  2.2,1.56.0,12  4.6,6.1-15
