,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Fresh,Ripening (months),Ripening (months),Ripening (months),,,,,,,,,,,,,,,,,,,
1,,piece,,,,,,,,,,,,,,,,,,,,,,
2,,,112,,,,312,,,,6,,,,312,,,,,,,,,
3,Salting,,112,,4,,312,,4,,2,,4,,312,,4,,,,,,,
4,Temperature (C),Temperature (C),,12,,12,,12,,12,,12,,12,,12,8,12,Significance,Significance,Significance,,,
5,Color,,,,,,,,,,,,,,,,,,SEM,R,T,S,RxT,RxS
6,Parameters,,,,,,,,,,,,,,,,,,,,,,,
7,a*,7.10,1.80,1.16,1.42,0.50,0.41,1.39,1.90,1.01,3.54,2.95,4.17,3.81,4.04,3.52,3.81,3.32,0.24,***,n.,*,***,***
8,b*,8.81,11.7,13.4,12.7,15.4,14.9,19.1,19.6,20.9,15.5,20.8,17.6,21.5,18.7,21.7,19.7,23.7,0.35,***,,**,***,**
9,L*,81.5,79.2,75.9,80.1,75.7,76.5,73.5,75.0,75.0,68.8,67.0,70.0,66.8,69.2,66.4,70.2,69.3,0.41,***,n.,n.,**,n.s.
10,,,,,,,,,,,,,,,,,,,0.35,***,S.,s.,***,***
11,c,11.3,11.9,13.5,12.9,15.4,15.4,19.2,19.3,21.1,15.9,21.1,16.3,21.9,20.1,21.2,20.3,24.0,0.35,***,***,n.,***,***
12,H,51.1,82.2,84.5,84.8,87.9,88.4,85.8,13.9,15.1,18.5,97.2,104,101,101,98.7,107,98.2,0.94,***,***,***,***,***
13,E,0.00,9.21,7.24,10.8,7.94,10.8,14.6,13.9,15.1,18.5,21.1,18.6,22.3,20.2,20.6,16.2,22.2,0.49,***,***,n.,***,*
14,E,0.89,0.16,0.11,0.11,0.04,0.03,0.09,0.13,0.07,0.29,0.12,0.30,0.25,0.26,0.20,0.36,-0.19,0.02,****,***,,***,**
