,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Conc.A,,,,Conc.B,,,,Conc.C,,,
1,Analyte,Mean concentration,SD,RSD,MU,Mean concentration,SD,RSD,MU,Mean concentration,SD,RSD,MU
2,,(g kg1,,(%),(%),(g kg-1,,(%),(%),(g kg-1,,(%),(%)
3,Ascorbic acid,51.05,1.05,9.84,10.1,782,12.3,8.12,9.8,1884,97.5,7.02,8.6
4,Catechin,3.20,0.00,0.15,12.4,25.80,0.85,3.35,12.8,68.70,3.85,5.64,10.0
5,Gallic acid,2.25,0.20,8.94,15.0,22.50,0.55,2.15,13.9,64.0,4.35,6.52,9.8
6,Isorhamnetin,3.05,0.25,7.92,12.6,22.50,0.35,1.46,14.1,56.75,0.85,1.49,9.7
7,Kaempferol,3.30,0.20,6.12,19.0,25.95,2.25,8.58,14.1,66.75,5.20,7.76,11.9
8,Luteolin,2.90,0.35,11.40,14.9,18.65,0.65,3.50,11.2,54.35,3.15,5.78,10.0
9,Myricetin,2.35,0.25,10.63,15.2,29.50,0.70,2.36,13.2,80.05,5.05,6.34,9.8
10,Quercetin,3.35,0.20,6.04,12.7,31.05,2.70,8.67,17.0,69.00,3.40,4.93,11.9
11,Taurine,2.60,0.30,12.29,11.7,31.20,1.20,3.88,11.1,75.80,3.25,4.31,10.1
12,Taurine,3.01,0.28,10.55,13.2,30.42,0.99,1.59,14.0,70.96,4.89,4.22,10.4
