,0,1,2,3,4,5,6
0,Age/sex group,Food group,Recommendation,,,Consumption,
1,,,No.of servings,Mean,95% CL,,%Recommendation
2,,,,No. of servings,,,%
3,"3-5 years,children(n=721",G,2.0,2.1,2.0,2.2,104.1
4,,M,3.0,2.1,2.0,2.3,70.9
5,,V,5.0,3.3,3.1,3.5,65.6
6,,F,1.0,1.6,1.4,1.8,159.5
7,,D,2.0,1.3,1.2,1.4,67.2
8,,0,2.0,3.3,3.0,3.6,164.0
9,"6-11 years,boysn=857",G,3.0,3.1,3.0,3.2,103.4
10,,M,3.0,3.3,3.1,3.5,109.2
11,,V,5.0,5.0,4.7,5.3,99.1
12,,F,1.0,1.7,1.5,2.0,170.5
13,,D,2.0,1.3,1.2,1.4,63.5
14,,0,3.0,5.2,4.8,5.5,172.2
15,"6-11 years,girlsn=795",G,2.5,2.7,2.6,2.8,108.8
16,,M,3.0,2.7,2.6,2.9,90.1
17,,V,5.0,4.6,4.3,4.9,92.2
18,,F,1.0,1.5,1.3,1.7,153.5
19,,D,2.0,1.2,1.1,1.3,57.7
20,,0,3.0,4.6,4.2,5.0,152.2
21,"12-18 years,boysn=823",G,4.0,3.8,3.7,3.9,95.2
22,,M,6.0,4.3,4.0,4.6,71.6
23,,V,2.0,6.5,6.1,1.5,92.2
24,,F,2.0,1.3,1.1,1.5,62.7
25,,D,2.0,1.1,1.0,1.3,56.4
26,,0,6.0,7.3,6.8,7.7,121.1
27,"12-18 years,girlsn=738",G,3.0,3.2,3.0,3.1,100.7
28,,M,4.0,3.2,3.0,3.4,80.7
29,,V,7.0,5.2,4.9,5.5,74.1
30,,F,2.0,1.4,1.2,1.7,71.2
31,,D,2.0,0.9,0.8,1.0,42.7
32,,0,4.0,6.9,6.3,7.6,173.4
33,"19-64 years,men(n=4013",G,4.0,5.1,3.5,3.6,88.5
34,,M,5.0,5.1,4.9,5.2,101.1
35,,V,7.0,10.1,9.9,10.3,143.7
36,,F,3.0,1.6,1.4,1.7,51.7
37,,D,1.0,0.5,0.4,0.5,46.2
38,,0,5.0,6.9,6.6,7.1,137.3
39,"19-64 years,women (n=5584",G,3.0,2.8,2.8,2.9,93.6
40,,M,4.0,3.2,3.2,3.3,81.0
41,,V,7.0,7.6,7.4,7.7,107.8
42,,F,2.0,2.1,1.9,2.2,103.9
43,,D,1.0,0.6,0.5,0.6,55.2
44,,0,4.0,4.7,4.6,4.9,117.4
45,">65years,men(n=1273",G,3.5,3.6,3.5,3.6,101.3
46,,M,4.0,3.1,3.0,3.3,78.3
47,,V,7.0,8.8,8.5,9.2,126.3
48,,F,1.0,1.4,1.1,1.6,136.6
49,,D,1.0,0.2,0.2,0.3,24.1
50,,0,4.0,3.1,2.9,3.4,77.8
51,">65 years,women (n=1688)",G,3.0,3.1,3.0,3.1,102.4
52,,M,2.5,1.9,1.8,2.0,74.9
53,,V,5.0,6.3,6.1,6.6,126.4
54,,F,1.0,1.2,1.1,1.4,123.8
55,,D,1.0,0.2,0.2,0.3,23.5
56,,0,3.0,1.9,1.7,2.0,61.8
