,0,1,2,3,4
0,,Effect,Limousin oak,Limousin oak,Chestnut
1,Total polyphenols,**,,0.630.09a,9.34+0.01 b
2,Phenolic acids,,,,
3,Gallic acid,**,38.190.14 a,38.190.14 a,302.5834.45
4,Vanillic acid,**,,2.030.13a,5.560.19b
5,Syringic acid,*,,4.310.11a,7.460.59 b
6,Ferulic acid,ns,,3.610.21,2.740.80
7,Ellagic acid,**,56.26+1.04a,56.26+1.04a,79.531.03b
8,Total,**,104.410.87a,104.410.87a,397.88+37.07b
9,Hydrolyzable tannins,,,,
10,Monogalloyl-glucose,ns,nd,,5.16+0.79
11,Grandinin,ns,,0.120.05,0.140.02
12,Vescalagin,ns,,0.110.08,0.17+0.07
13,Roburin E,ns,,0.140.05,0.120.04
14,Castalagin,ns,12.077.25,12.077.25,6.333.52
15,Total,ns,12.793.24,12.793.24,14.101.57
