,0,1,2,3,4
0,Latin name,Comon name,Vitamin C,,Bibliographic
1,,,content (mg%),,data
2,Adansonia digitata,Monkey bread,151.0*156.0,,3501
3,,,168.0-173.0,,
4,Anacardium oooidentale Cashew,Anacardium oooidentale Cashew,147.0-158.0,,229(2)
5,,,,,260.44)
6,Annona muricata,Soursop,9.8-10.7,,-
7,,,19.7-20.8,,
8,Aphania senegalensis,Soapberry tree,33.7-34.2,,
9,Balanites aegyptiaca,Desert date,-8.7,,
10,Boressus flabellifer,Palmyra palm,2.2.-2.3,,
11,Carica papaya,Papaya,75.7-78.8,,792
12,Carica papaya,,77.6-80.7,,51.83
13,,,,,38.24
14,,,,,90{5}
15,Citrus aurentifolia,Lime (juice),23.6-35.2,,362)
16,Citrus aurentium,Grapefruit (juice),34.4-34.9,-,-
17,Citrus reticulata,,44.0-45.3,,61.94)
18,Citrus sinensis,Orange (juice),34.0-40.7,,48.3(3)
19,,,65.2-77.4,,48.3(3)
20,,,,,66.34)
21,Cola cordifolia,Taba,not detected,-,-
22,Cordyla pinnata,Bushmango,13.7-13.8,,75.64)
23,Detarium microcarpum,Sweet dattock,-4.0,-,-
24,Detarium senegalense,Senegal dattock,509-527,-,-
25,,,1161- 1183,,
26,Dialium guineensis,Velvet tamarind,not detected,,12.34
27,Dialium guineensis,,,,255
28,Hyphaene thebaica,Egyptian doumpalm,0.9-1.0,-,-
29,Landolphia heudolitii,Gumwine guinea,-1.7,-,-
30,Manguifera indica,Mango,21.9-45.0,98.03,31.34
31,,,,90(5),90(5)
32,Parinari excelsa,Parinarium,not detected,-,
33,Parinari maorophylla,Gingerbread plum,not detected,,
34,Phyllantus acidus,,not detected,-,-
35,Peidium goyava,Guava,155.0-157.7,802,802
36,Peidium goyava,,155.0-157.7,67.53),288.9(4)
37,Punica granatum,Pomegranate (juice),-2.4,72),72)
38,Saba senegaleneie,Gumwine,6.2-11.0,-,
39,Tamarindus indica,Tamarind,-0.8,,
40,Terminalia catappa,Indian fruit,not detected,95.94,95.94
41,Vitex doniana,Blackplum,not detected,,
42,Zizyphus mauritania,Jujube,2.8-10.4,,
